epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1549741170212,2019-02-09T14:39:30.212,0.000,-0.033,0.002,0.966
1549741170252,2019-02-09T14:39:30.252,0.040,-0.051,0.004,0.975
1549741170292,2019-02-09T14:39:30.292,0.080,-0.057,0.016,0.967
1549741170332,2019-02-09T14:39:30.332,0.120,-0.047,0.010,0.972
1549741170372,2019-02-09T14:39:30.372,0.160,-0.025,0.002,0.976
1549741170412,2019-02-09T14:39:30.412,0.200,-0.026,0.002,0.973
1549741170452,2019-02-09T14:39:30.452,0.240,-0.049,0.006,0.972
1549741170492,2019-02-09T14:39:30.492,0.280,-0.059,0.012,0.970
1549741170532,2019-02-09T14:39:30.532,0.320,-0.043,0.009,0.973
1549741170572,2019-02-09T14:39:30.572,0.360,-0.024,0.004,0.973
1549741170612,2019-02-09T14:39:30.612,0.400,-0.030,0.003,0.973
1549741170652,2019-02-09T14:39:30.652,0.440,-0.038,0.004,0.972
1549741170692,2019-02-09T14:39:30.692,0.480,-0.050,0.007,0.972
1549741170732,2019-02-09T14:39:30.732,0.520,-0.058,0.012,0.971
1549741170772,2019-02-09T14:39:30.772,0.560,-0.026,0.005,0.973
1549741170812,2019-02-09T14:39:30.812,0.600,-0.012,0.002,0.977
1549741170852,2019-02-09T14:39:30.852,0.640,-0.043,0.003,0.973
1549741170892,2019-02-09T14:39:30.892,0.680,-0.053,0.005,0.971
1549741170932,2019-02-09T14:39:30.932,0.720,-0.044,0.010,0.971
1549741170972,2019-02-09T14:39:30.972,0.760,-0.040,0.010,0.973
1549741171012,2019-02-09T14:39:31.012,0.800,-0.020,0.001,0.975
1549741171052,2019-02-09T14:39:31.052,0.840,-0.021,0.002,0.975
1549741171092,2019-02-09T14:39:31.092,0.880,-0.046,0.008,0.973
1549741171132,2019-02-09T14:39:31.132,0.920,-0.063,0.010,0.971
1549741171172,2019-02-09T14:39:31.172,0.960,-0.046,0.006,0.973
1549741171212,2019-02-09T14:39:31.212,1.000,-0.022,0.005,0.973
1549741171252,2019-02-09T14:39:31.252,1.040,-0.018,0.001,0.976
1549741171292,2019-02-09T14:39:31.292,1.080,-0.029,0.003,0.975
1549741171332,2019-02-09T14:39:31.332,1.120,-0.054,0.010,0.972
1549741171372,2019-02-09T14:39:31.372,1.160,-0.060,0.010,0.972
1549741171412,2019-02-09T14:39:31.412,1.200,-0.031,0.002,0.973
1549741171452,2019-02-09T14:39:31.452,1.240,-0.021,0.004,0.971
1549741171492,2019-02-09T14:39:31.492,1.280,-0.021,0.001,0.976
1549741171532,2019-02-09T14:39:31.532,1.320,-0.043,0.006,0.973
1549741171572,2019-02-09T14:39:31.572,1.360,-0.065,0.016,0.971
1549741171612,2019-02-09T14:39:31.612,1.400,-0.044,0.002,0.973
1549741171652,2019-02-09T14:39:31.652,1.440,-0.017,0.001,0.974
1549741171692,2019-02-09T14:39:31.692,1.480,-0.026,0.006,0.975
1549741171732,2019-02-09T14:39:31.732,1.520,-0.032,0.004,0.975
1549741171772,2019-02-09T14:39:31.772,1.560,-0.052,0.010,0.973
1549741171812,2019-02-09T14:39:31.812,1.600,-0.064,0.014,0.971
1549741171852,2019-02-09T14:39:31.852,1.640,-0.032,0.000,0.973
1549741171892,2019-02-09T14:39:31.892,1.680,-0.013,0.000,0.974
1549741171932,2019-02-09T14:39:31.932,1.720,-0.027,0.005,0.976
1549741171972,2019-02-09T14:39:31.972,1.760,-0.047,0.008,0.973
1549741172012,2019-02-09T14:39:32.012,1.800,-0.061,0.015,0.974
1549741172052,2019-02-09T14:39:32.052,1.840,-0.046,0.007,0.976
1549741172092,2019-02-09T14:39:32.092,1.880,-0.017,-0.001,0.975
1549741172132,2019-02-09T14:39:32.132,1.920,-0.027,0.001,0.974
1549741172172,2019-02-09T14:39:32.172,1.960,-0.034,0.004,0.974
1549741172212,2019-02-09T14:39:32.212,2.000,-0.050,0.013,0.974
1549741172252,2019-02-09T14:39:32.252,2.040,-0.059,0.014,0.974
1549741172292,2019-02-09T14:39:32.292,2.080,-0.031,0.002,0.972
1549741172332,2019-02-09T14:39:32.332,2.120,-0.019,-0.002,0.976
1549741172372,2019-02-09T14:39:32.372,2.160,-0.032,0.003,0.972
1549741172412,2019-02-09T14:39:32.412,2.200,-0.046,0.009,0.973
1549741172452,2019-02-09T14:39:32.452,2.240,-0.049,0.016,0.974
1549741172492,2019-02-09T14:39:32.492,2.280,-0.042,0.008,0.974
1549741172532,2019-02-09T14:39:32.532,2.320,-0.025,-0.002,0.975
1549741172572,2019-02-09T14:39:32.572,2.360,-0.032,0.002,0.974
