epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1549741170049,2019-02-09T14:39:30.049,0.000,0.122,-1.280,0.244
1549741170089,2019-02-09T14:39:30.089,0.040,0.122,-1.037,0.122
1549741170129,2019-02-09T14:39:30.129,0.080,-0.305,-0.427,1.037
1549741170169,2019-02-09T14:39:30.169,0.120,-0.305,-0.793,0.427
1549741170209,2019-02-09T14:39:30.209,0.160,0.183,0.122,-0.793
1549741170249,2019-02-09T14:39:30.249,0.200,0.366,-0.305,-1.341
1549741170289,2019-02-09T14:39:30.289,0.240,0.183,-1.890,-0.305
1549741170329,2019-02-09T14:39:30.329,0.280,-0.305,-1.341,1.463
1549741170369,2019-02-09T14:39:30.369,0.320,-0.427,-0.671,1.646
1549741170409,2019-02-09T14:39:30.409,0.360,-0.061,-0.488,0.305
1549741170449,2019-02-09T14:39:30.449,0.400,0.244,-0.488,-0.610
1549741170489,2019-02-09T14:39:30.489,0.440,0.000,-1.951,-0.061
1549741170529,2019-02-09T14:39:30.529,0.480,-0.488,-2.683,1.463
1549741170569,2019-02-09T14:39:30.569,0.520,-0.366,-1.463,1.829
1549741170609,2019-02-09T14:39:30.609,0.560,-0.061,0.610,0.732
1549741170649,2019-02-09T14:39:30.649,0.600,0.183,-0.183,-0.671
1549741170689,2019-02-09T14:39:30.689,0.640,0.305,-1.341,-0.671
1549741170729,2019-02-09T14:39:30.729,0.680,-0.061,-2.500,0.915
1549741170769,2019-02-09T14:39:30.769,0.720,-0.488,-2.683,1.707
1549741170809,2019-02-09T14:39:30.809,0.760,-0.488,-0.549,0.732
1549741170849,2019-02-09T14:39:30.849,0.800,0.122,1.037,-0.610
1549741170889,2019-02-09T14:39:30.889,0.840,0.183,-1.402,-1.098
1549741170929,2019-02-09T14:39:30.929,0.880,0.000,-3.232,0.244
1549741170969,2019-02-09T14:39:30.969,0.920,-0.061,-2.134,1.829
1549741171009,2019-02-09T14:39:31.009,0.960,-0.305,-1.037,1.463
1549741171049,2019-02-09T14:39:31.049,1.000,0.183,0.915,-0.366
1549741171089,2019-02-09T14:39:31.089,1.040,0.305,1.280,-1.341
1549741171129,2019-02-09T14:39:31.129,1.080,0.244,-0.976,-0.366
1549741171169,2019-02-09T14:39:31.169,1.120,-0.183,-3.476,1.341
1549741171209,2019-02-09T14:39:31.209,1.160,-0.427,-2.683,2.012
1549741171249,2019-02-09T14:39:31.249,1.200,-0.061,-0.244,0.854
1549741171289,2019-02-09T14:39:31.289,1.240,0.366,1.280,-1.037
1549741171329,2019-02-09T14:39:31.329,1.280,0.366,0.915,-1.098
1549741171369,2019-02-09T14:39:31.369,1.320,-0.122,-1.646,0.671
1549741171409,2019-02-09T14:39:31.409,1.360,-0.488,-3.293,1.890
1549741171449,2019-02-09T14:39:31.449,1.400,-0.122,-1.098,1.463
1549741171489,2019-02-09T14:39:31.489,1.440,0.244,0.244,-0.427
1549741171529,2019-02-09T14:39:31.529,1.480,0.366,1.402,-1.341
1549741171569,2019-02-09T14:39:31.569,1.520,0.183,0.000,-0.122
1549741171609,2019-02-09T14:39:31.609,1.560,-0.427,-3.110,1.707
1549741171649,2019-02-09T14:39:31.649,1.600,-0.244,-3.110,1.524
1549741171689,2019-02-09T14:39:31.689,1.640,0.244,-0.305,0.244
1549741171729,2019-02-09T14:39:31.729,1.680,0.183,1.220,-1.220
1549741171769,2019-02-09T14:39:31.769,1.720,0.488,1.159,-1.280
1549741171809,2019-02-09T14:39:31.809,1.760,0.061,-0.915,0.671
1549741171849,2019-02-09T14:39:31.849,1.800,-0.549,-3.659,1.951
1549741171889,2019-02-09T14:39:31.889,1.840,-0.244,-2.622,1.037
1549741171929,2019-02-09T14:39:31.929,1.880,0.244,0.915,-0.488
1549741171969,2019-02-09T14:39:31.969,1.920,0.305,1.951,-1.220
1549741172009,2019-02-09T14:39:32.009,1.960,0.244,-0.061,-0.244
1549741172049,2019-02-09T14:39:32.049,2.000,-0.366,-2.866,1.707
1549741172089,2019-02-09T14:39:32.089,2.040,-0.488,-3.110,1.768
1549741172129,2019-02-09T14:39:32.129,2.080,0.122,-0.366,0.427
1549741172169,2019-02-09T14:39:32.169,2.120,0.244,0.671,-1.037
1549741172209,2019-02-09T14:39:32.209,2.160,0.366,0.671,-0.976
1549741172249,2019-02-09T14:39:32.249,2.200,0.122,-1.159,0.671
1549741172289,2019-02-09T14:39:32.289,2.240,-0.427,-2.561,1.768
1549741172329,2019-02-09T14:39:32.329,2.280,-0.183,-2.134,0.854
1549741172369,2019-02-09T14:39:32.369,2.320,0.244,-0.671,-0.549
1549741172409,2019-02-09T14:39:32.409,2.360,0.244,0.549,-1.159
1549741172449,2019-02-09T14:39:32.449,2.400,0.061,0.122,-0.061
1549741172489,2019-02-09T14:39:32.489,2.440,-0.183,-0.671,1.220
1549741172529,2019-02-09T14:39:32.529,2.480,-0.244,-1.646,0.854
1549741172569,2019-02-09T14:39:32.569,2.520,0.244,-1.463,-0.427
1549741172609,2019-02-09T14:39:32.609,2.560,0.366,-0.671,-0.671
1549741172649,2019-02-09T14:39:32.649,2.600,0.000,-0.915,0.000
1549741172689,2019-02-09T14:39:32.689,2.640,-0.183,-0.183,0.976
1549741172729,2019-02-09T14:39:32.729,2.680,-0.061,0.427,0.976
1549741172769,2019-02-09T14:39:32.769,2.720,-0.061,-0.793,-0.061
1549741172809,2019-02-09T14:39:32.809,2.760,0.244,-0.976,-0.610
1549741172849,2019-02-09T14:39:32.849,2.800,0.244,-1.646,-0.305
1549741172889,2019-02-09T14:39:32.889,2.840,0.000,-1.280,0.732
1549741172929,2019-02-09T14:39:32.929,2.880,-0.122,0.305,1.037
1549741172969,2019-02-09T14:39:32.969,2.920,-0.122,0.305,0.122
1549741173009,2019-02-09T14:39:33.009,2.960,0.122,0.000,-0.671
1549741173049,2019-02-09T14:39:33.049,3.000,0.183,-1.402,-0.183
1549741173089,2019-02-09T14:39:33.089,3.040,-0.183,-2.378,1.280
1549741173129,2019-02-09T14:39:33.129,3.080,-0.427,-1.341,1.768
1549741173169,2019-02-09T14:39:33.169,3.120,-0.061,0.488,0.610
1549741173209,2019-02-09T14:39:33.209,3.160,0.244,0.915,-0.549
1549741173249,2019-02-09T14:39:33.249,3.200,0.183,-0.732,-0.366
1549741173289,2019-02-09T14:39:33.289,3.240,-0.122,-2.805,1.098
1549741173329,2019-02-09T14:39:33.329,3.280,-0.427,-2.561,2.256
1549741173369,2019-02-09T14:39:33.369,3.320,-0.244,-0.488,1.463
1549741173409,2019-02-09T14:39:33.409,3.360,0.183,0.854,-0.427
1549741173449,2019-02-09T14:39:33.449,3.400,0.366,0.671,-0.976
1549741173489,2019-02-09T14:39:33.489,3.440,0.061,-1.585,0.427
1549741173529,2019-02-09T14:39:33.529,3.480,-0.488,-3.354,1.890
1549741173569,2019-02-09T14:39:33.569,3.520,-0.366,-2.012,1.890
1549741173609,2019-02-09T14:39:33.609,3.560,0.000,0.183,0.488
1549741173649,2019-02-09T14:39:33.649,3.600,0.305,1.098,-0.915
1549741173689,2019-02-09T14:39:33.689,3.640,0.244,0.122,-0.610
1549741173729,2019-02-09T14:39:33.729,3.680,-0.183,-2.378,1.037
1549741173769,2019-02-09T14:39:33.769,3.720,-0.427,-3.171,1.890
1549741173809,2019-02-09T14:39:33.809,3.760,-0.122,-1.037,1.037
1549741173849,2019-02-09T14:39:33.849,3.800,0.122,0.976,-0.671
1549741173889,2019-02-09T14:39:33.889,3.840,0.366,0.976,-1.585
1549741173929,2019-02-09T14:39:33.929,3.880,0.183,-0.366,-0.488
1549741173969,2019-02-09T14:39:33.969,3.920,-0.305,-2.927,1.280
1549741174009,2019-02-09T14:39:34.009,3.960,-0.305,-2.561,1.829
1549741174049,2019-02-09T14:39:34.049,4.000,-0.061,-0.366,0.610
1549741174089,2019-02-09T14:39:34.089,4.040,0.244,0.976,-1.220
1549741174129,2019-02-09T14:39:34.129,4.080,0.366,0.671,-1.402
1549741174169,2019-02-09T14:39:34.169,4.120,-0.061,-1.341,0.427
1549741174209,2019-02-09T14:39:34.209,4.160,-0.427,-2.805,1.829
1549741174249,2019-02-09T14:39:34.249,4.200,-0.244,-1.707,1.341
1549741174289,2019-02-09T14:39:34.289,4.240,0.122,0.183,-0.488
1549741174329,2019-02-09T14:39:34.329,4.280,0.488,1.159,-1.524
1549741174369,2019-02-09T14:39:34.369,4.320,0.183,-0.427,-0.427
1549741174409,2019-02-09T14:39:34.409,4.360,-0.305,-2.561,1.524
1549741174449,2019-02-09T14:39:34.449,4.400,-0.366,-2.622,2.012
1549741174489,2019-02-09T14:39:34.489,4.440,-0.183,-1.341,0.976
1549741174529,2019-02-09T14:39:34.529,4.480,0.183,-0.061,-0.610
1549741174569,2019-02-09T14:39:34.569,4.520,0.305,0.305,-0.732
1549741174609,2019-02-09T14:39:34.609,4.560,-0.061,-1.707,0.854
1549741174649,2019-02-09T14:39:34.649,4.600,-0.427,-3.232,1.707
1549741174689,2019-02-09T14:39:34.689,4.640,-0.244,-1.890,1.159
1549741174729,2019-02-09T14:39:34.729,4.680,0.183,0.061,-0.305
1549741174769,2019-02-09T14:39:34.769,4.720,0.366,0.671,-1.341
1549741174809,2019-02-09T14:39:34.809,4.760,0.244,-0.122,-0.366
1549741174849,2019-02-09T14:39:34.849,4.800,-0.183,-2.012,1.341
1549741174889,2019-02-09T14:39:34.889,4.840,-0.488,-3.415,1.707
1549741174929,2019-02-09T14:39:34.929,4.880,0.244,-0.244,0.488
1549741174969,2019-02-09T14:39:34.969,4.920,0.183,-0.122,-0.793
1549741175009,2019-02-09T14:39:35.009,4.960,0.305,0.305,-0.427
1549741175049,2019-02-09T14:39:35.049,5.000,-0.183,-1.037,1.220
1549741175089,2019-02-09T14:39:35.089,5.040,-0.366,-2.439,1.890
1549741175129,2019-02-09T14:39:35.129,5.080,0.061,-1.098,0.976
1549741175169,2019-02-09T14:39:35.169,5.120,0.244,-0.061,-0.366
1549741175209,2019-02-09T14:39:35.209,5.160,0.183,0.122,-0.732
1549741175249,2019-02-09T14:39:35.249,5.200,0.061,-0.366,0.793
1549741175289,2019-02-09T14:39:35.289,5.240,-0.427,-2.134,1.768
1549741175329,2019-02-09T14:39:35.329,5.280,-0.122,-1.768,1.280
1549741175369,2019-02-09T14:39:35.369,5.320,0.183,-0.610,-0.061
1549741175409,2019-02-09T14:39:35.409,5.360,0.305,-0.183,-0.915
1549741175449,2019-02-09T14:39:35.449,5.400,0.244,-0.366,-0.061
1549741175489,2019-02-09T14:39:35.489,5.440,-0.183,-1.646,1.280
1549741175529,2019-02-09T14:39:35.529,5.480,-0.244,-2.317,1.159
1549741175569,2019-02-09T14:39:35.569,5.520,0.061,-1.402,-0.061
1549741175609,2019-02-09T14:39:35.609,5.560,0.244,-0.610,-0.854
1549741175649,2019-02-09T14:39:35.649,5.600,0.122,-0.671,-0.244
1549741175689,2019-02-09T14:39:35.689,5.640,-0.061,-0.488,1.159
1549741175729,2019-02-09T14:39:35.729,5.680,-0.305,-0.976,1.280
1549741175769,2019-02-09T14:39:35.769,5.720,-0.061,-0.793,0.061
1549741175809,2019-02-09T14:39:35.809,5.760,0.244,-0.854,-0.671
1549741175849,2019-02-09T14:39:35.849,5.800,0.183,-1.463,-0.061
1549741175889,2019-02-09T14:39:35.889,5.840,-0.122,-1.829,1.037
1549741175929,2019-02-09T14:39:35.929,5.880,-0.183,-1.524,1.280
1549741175969,2019-02-09T14:39:35.969,5.920,-0.061,-1.280,0.366
1549741176009,2019-02-09T14:39:36.009,5.960,0.061,-1.098,-0.183
1549741176049,2019-02-09T14:39:36.049,6.000,0.061,-2.378,0.244
1549741176089,2019-02-09T14:39:36.089,6.040,-0.244,-2.805,0.915
1549741176129,2019-02-09T14:39:36.129,6.080,-0.122,-0.671,0.915
1549741176169,2019-02-09T14:39:36.169,6.120,0.061,-0.366,0.183
1549741176209,2019-02-09T14:39:36.209,6.160,-0.122,-2.195,0.122
