epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1542836651881,2018-11-21T16:44:11.881,0.000,-0.055,0.980,0.217
1542836651881,2018-11-21T16:44:11.881,0.000,-0.057,0.987,0.217
1542836651881,2018-11-21T16:44:11.881,0.000,-0.055,0.986,0.216
1542836651997,2018-11-21T16:44:11.997,0.116,-0.054,0.982,0.214
1542836651997,2018-11-21T16:44:11.997,0.116,-0.052,0.981,0.213
1542836651997,2018-11-21T16:44:11.997,0.116,-0.054,0.982,0.211
1542836652146,2018-11-21T16:44:12.146,0.265,-0.054,0.984,0.213
1542836652146,2018-11-21T16:44:12.146,0.265,-0.053,0.981,0.213
1542836652146,2018-11-21T16:44:12.146,0.265,-0.056,0.979,0.215
1542836652274,2018-11-21T16:44:12.274,0.393,-0.060,0.982,0.217
1542836652274,2018-11-21T16:44:12.274,0.393,-0.061,0.987,0.219
1542836652274,2018-11-21T16:44:12.274,0.393,-0.062,0.985,0.220
1542836652365,2018-11-21T16:44:12.365,0.484,-0.063,0.984,0.215
1542836652365,2018-11-21T16:44:12.365,0.484,-0.064,0.987,0.218
1542836652365,2018-11-21T16:44:12.365,0.484,-0.060,0.983,0.216
1542836652486,2018-11-21T16:44:12.486,0.605,-0.055,0.985,0.214
1542836652486,2018-11-21T16:44:12.486,0.605,-0.057,0.984,0.212
1542836652486,2018-11-21T16:44:12.486,0.605,-0.055,0.978,0.207
1542836652609,2018-11-21T16:44:12.609,0.728,-0.055,0.979,0.207
1542836652609,2018-11-21T16:44:12.609,0.728,-0.055,0.984,0.211
1542836652609,2018-11-21T16:44:12.609,0.728,-0.055,0.983,0.212
1542836652738,2018-11-21T16:44:12.738,0.857,-0.058,0.980,0.213
1542836652738,2018-11-21T16:44:12.738,0.857,-0.062,0.982,0.218
1542836652738,2018-11-21T16:44:12.738,0.857,-0.061,0.986,0.219
1542836652850,2018-11-21T16:44:12.850,0.969,-0.064,0.986,0.224
1542836652850,2018-11-21T16:44:12.850,0.969,-0.065,0.984,0.225
1542836652850,2018-11-21T16:44:12.850,0.969,-0.065,0.985,0.224
1542836652982,2018-11-21T16:44:12.982,1.101,-0.066,0.983,0.222
1542836652982,2018-11-21T16:44:12.982,1.101,-0.066,0.982,0.217
1542836652982,2018-11-21T16:44:12.982,1.101,-0.065,0.983,0.217
1542836653098,2018-11-21T16:44:13.098,1.217,-0.064,0.982,0.216
1542836653098,2018-11-21T16:44:13.098,1.217,-0.062,0.983,0.215
1542836653098,2018-11-21T16:44:13.098,1.217,-0.062,0.982,0.217
1542836653210,2018-11-21T16:44:13.210,1.329,-0.060,0.983,0.218
1542836653210,2018-11-21T16:44:13.210,1.329,-0.060,0.983,0.218
1542836653210,2018-11-21T16:44:13.210,1.329,-0.061,0.982,0.218
1542836653322,2018-11-21T16:44:13.322,1.441,-0.061,0.983,0.217
1542836653322,2018-11-21T16:44:13.322,1.441,-0.061,0.980,0.216
1542836653322,2018-11-21T16:44:13.322,1.441,-0.062,0.984,0.218
1542836653446,2018-11-21T16:44:13.446,1.565,-0.062,0.986,0.216
1542836653446,2018-11-21T16:44:13.446,1.565,-0.064,0.982,0.220
1542836653446,2018-11-21T16:44:13.446,1.565,-0.061,0.976,0.217
1542836653577,2018-11-21T16:44:13.577,1.696,-0.061,0.982,0.218
1542836653577,2018-11-21T16:44:13.577,1.696,-0.064,0.986,0.223
1542836653577,2018-11-21T16:44:13.577,1.696,-0.063,0.987,0.219
1542836653694,2018-11-21T16:44:13.694,1.813,-0.061,0.980,0.221
1542836653694,2018-11-21T16:44:13.694,1.813,-0.061,0.981,0.221
1542836653694,2018-11-21T16:44:13.694,1.813,-0.059,0.981,0.222
1542836653826,2018-11-21T16:44:13.826,1.945,-0.058,0.980,0.221
1542836653826,2018-11-21T16:44:13.826,1.945,-0.059,0.982,0.223
1542836653826,2018-11-21T16:44:13.826,1.945,-0.059,0.982,0.221
1542836653941,2018-11-21T16:44:13.941,2.060,-0.061,0.983,0.220
1542836653941,2018-11-21T16:44:13.941,2.060,-0.061,0.981,0.220
1542836653941,2018-11-21T16:44:13.941,2.060,-0.060,0.980,0.219
1542836654065,2018-11-21T16:44:14.065,2.184,-0.059,0.981,0.219
1542836654065,2018-11-21T16:44:14.065,2.184,-0.061,0.981,0.220
1542836654065,2018-11-21T16:44:14.065,2.184,-0.060,0.981,0.219
1542836654186,2018-11-21T16:44:14.186,2.305,-0.059,0.979,0.219
1542836654186,2018-11-21T16:44:14.186,2.305,-0.057,0.978,0.220
1542836654186,2018-11-21T16:44:14.186,2.305,-0.058,0.980,0.219
1542836654308,2018-11-21T16:44:14.308,2.427,-0.059,0.980,0.219
1542836654308,2018-11-21T16:44:14.308,2.427,-0.059,0.978,0.217
1542836654308,2018-11-21T16:44:14.308,2.427,-0.058,0.982,0.219
1542836654425,2018-11-21T16:44:14.425,2.544,-0.059,0.982,0.216
1542836654425,2018-11-21T16:44:14.425,2.544,-0.060,0.979,0.219
1542836654425,2018-11-21T16:44:14.425,2.544,-0.058,0.976,0.215
1542836654542,2018-11-21T16:44:14.542,2.661,-0.062,0.980,0.216
1542836654542,2018-11-21T16:44:14.542,2.661,-0.062,0.985,0.222
1542836654542,2018-11-21T16:44:14.542,2.661,-0.063,0.986,0.221
1542836654661,2018-11-21T16:44:14.661,2.780,-0.063,0.982,0.224
1542836654661,2018-11-21T16:44:14.661,2.780,-0.064,0.984,0.225
1542836654661,2018-11-21T16:44:14.661,2.780,-0.062,0.982,0.224
1542836654796,2018-11-21T16:44:14.796,2.915,-0.063,0.982,0.223
1542836654796,2018-11-21T16:44:14.796,2.915,-0.064,0.984,0.222
1542836654796,2018-11-21T16:44:14.796,2.915,-0.064,0.983,0.218
1542836654916,2018-11-21T16:44:14.916,3.035,-0.063,0.982,0.217
1542836654916,2018-11-21T16:44:14.916,3.035,-0.063,0.979,0.214
1542836654916,2018-11-21T16:44:14.916,3.035,-0.065,0.982,0.213
1542836655036,2018-11-21T16:44:15.036,3.155,-0.064,0.985,0.216
1542836655036,2018-11-21T16:44:15.036,3.155,-0.064,0.984,0.215
1542836655036,2018-11-21T16:44:15.036,3.155,-0.064,0.979,0.217
1542836655154,2018-11-21T16:44:15.154,3.273,-0.064,0.981,0.221
1542836655154,2018-11-21T16:44:15.154,3.273,-0.064,0.985,0.221
1542836655154,2018-11-21T16:44:15.154,3.273,-0.064,0.987,0.219
1542836655292,2018-11-21T16:44:15.292,3.411,-0.066,0.983,0.216
1542836655292,2018-11-21T16:44:15.292,3.411,-0.067,0.980,0.213
1542836655292,2018-11-21T16:44:15.292,3.411,-0.065,0.983,0.217
1542836655403,2018-11-21T16:44:15.403,3.522,-0.063,0.983,0.214
1542836655403,2018-11-21T16:44:15.403,3.522,-0.062,0.983,0.216
1542836655403,2018-11-21T16:44:15.403,3.522,-0.061,0.980,0.217
1542836655551,2018-11-21T16:44:15.551,3.670,-0.064,0.980,0.220
1542836655551,2018-11-21T16:44:15.551,3.670,-0.066,0.982,0.223
1542836655551,2018-11-21T16:44:15.551,3.670,-0.068,0.985,0.221
1542836655641,2018-11-21T16:44:15.641,3.760,-0.069,0.982,0.222
1542836655641,2018-11-21T16:44:15.641,3.760,-0.069,0.984,0.221
1542836655641,2018-11-21T16:44:15.641,3.760,-0.064,0.987,0.223
1542836655761,2018-11-21T16:44:15.761,3.880,-0.060,0.985,0.216
1542836655761,2018-11-21T16:44:15.761,3.880,-0.064,0.979,0.219
1542836655761,2018-11-21T16:44:15.761,3.880,-0.061,0.974,0.220
1542836655907,2018-11-21T16:44:15.907,4.026,-0.059,0.980,0.226
1542836655907,2018-11-21T16:44:15.907,4.026,-0.058,0.987,0.229
1542836655907,2018-11-21T16:44:15.907,4.026,-0.065,0.984,0.226
1542836656010,2018-11-21T16:44:16.010,4.129,-0.068,0.981,0.221
1542836656010,2018-11-21T16:44:16.010,4.129,-0.068,0.984,0.219
1542836656010,2018-11-21T16:44:16.010,4.129,-0.065,0.986,0.221
1542836656123,2018-11-21T16:44:16.123,4.242,-0.063,0.982,0.220
1542836656123,2018-11-21T16:44:16.123,4.242,-0.059,0.977,0.219
1542836656123,2018-11-21T16:44:16.123,4.242,-0.057,0.977,0.223
1542836656268,2018-11-21T16:44:16.268,4.387,-0.054,0.981,0.226
1542836656268,2018-11-21T16:44:16.268,4.387,-0.053,0.979,0.226
1542836656268,2018-11-21T16:44:16.268,4.387,-0.058,0.978,0.227
1542836656368,2018-11-21T16:44:16.368,4.487,-0.060,0.981,0.228
1542836656368,2018-11-21T16:44:16.368,4.487,-0.060,0.983,0.226
1542836656368,2018-11-21T16:44:16.368,4.487,-0.063,0.980,0.228
1542836656495,2018-11-21T16:44:16.495,4.614,-0.062,0.973,0.229
1542836656495,2018-11-21T16:44:16.495,4.614,-0.061,0.980,0.230
1542836656495,2018-11-21T16:44:16.495,4.614,-0.062,0.986,0.232
1542836656618,2018-11-21T16:44:16.618,4.737,-0.060,0.983,0.229
1542836656618,2018-11-21T16:44:16.618,4.737,-0.056,0.976,0.230
1542836656618,2018-11-21T16:44:16.618,4.737,-0.054,0.977,0.229
1542836656720,2018-11-21T16:44:16.720,4.839,-0.052,0.978,0.230
1542836656720,2018-11-21T16:44:16.720,4.839,-0.051,0.979,0.230
1542836656720,2018-11-21T16:44:16.720,4.839,-0.051,0.980,0.232
1542836656854,2018-11-21T16:44:16.854,4.973,-0.053,0.979,0.229
1542836656854,2018-11-21T16:44:16.854,4.973,-0.055,0.977,0.230
1542836656854,2018-11-21T16:44:16.854,4.973,-0.054,0.973,0.227
1542836656975,2018-11-21T16:44:16.975,5.094,-0.056,0.977,0.226
1542836656975,2018-11-21T16:44:16.975,5.094,-0.057,0.978,0.226
1542836656975,2018-11-21T16:44:16.975,5.094,-0.057,0.979,0.226
1542836657098,2018-11-21T16:44:17.098,5.217,-0.055,0.977,0.228
1542836657098,2018-11-21T16:44:17.098,5.217,-0.053,0.976,0.230
1542836657098,2018-11-21T16:44:17.098,5.217,-0.053,0.976,0.231
1542836657214,2018-11-21T16:44:17.214,5.333,-0.053,0.980,0.233
1542836657214,2018-11-21T16:44:17.214,5.333,-0.051,0.983,0.233
1542836657214,2018-11-21T16:44:17.214,5.333,-0.051,0.980,0.230
1542836657335,2018-11-21T16:44:17.335,5.454,-0.053,0.975,0.228
1542836657335,2018-11-21T16:44:17.335,5.454,-0.053,0.978,0.228
1542836657335,2018-11-21T16:44:17.335,5.454,-0.055,0.979,0.226
1542836657462,2018-11-21T16:44:17.462,5.581,-0.060,0.980,0.226
1542836657462,2018-11-21T16:44:17.462,5.581,-0.062,0.981,0.228
1542836657462,2018-11-21T16:44:17.462,5.581,-0.060,0.982,0.226
1542836657585,2018-11-21T16:44:17.585,5.704,-0.060,0.981,0.229
1542836657585,2018-11-21T16:44:17.585,5.704,-0.061,0.983,0.228
1542836657585,2018-11-21T16:44:17.585,5.704,-0.058,0.981,0.227
1542836657698,2018-11-21T16:44:17.698,5.817,-0.055,0.985,0.224
1542836657698,2018-11-21T16:44:17.698,5.817,-0.052,0.985,0.223
1542836657698,2018-11-21T16:44:17.698,5.817,-0.051,0.975,0.216
1542836657823,2018-11-21T16:44:17.823,5.942,-0.053,0.974,0.212
1542836657823,2018-11-21T16:44:17.823,5.942,-0.058,0.979,0.212
1542836657823,2018-11-21T16:44:17.823,5.942,-0.063,0.985,0.212
1542836657945,2018-11-21T16:44:17.945,6.064,-0.060,0.986,0.213
1542836657945,2018-11-21T16:44:17.945,6.064,-0.059,0.984,0.215
1542836657945,2018-11-21T16:44:17.945,6.064,-0.058,0.982,0.218
1542836658068,2018-11-21T16:44:18.068,6.187,-0.054,0.982,0.221
1542836658068,2018-11-21T16:44:18.068,6.187,-0.056,0.986,0.222
1542836658068,2018-11-21T16:44:18.068,6.187,-0.058,0.989,0.224
1542836658193,2018-11-21T16:44:18.193,6.312,-0.059,0.989,0.224
1542836658193,2018-11-21T16:44:18.193,6.312,-0.058,0.984,0.222
1542836658193,2018-11-21T16:44:18.193,6.312,-0.060,0.982,0.215
1542836658306,2018-11-21T16:44:18.306,6.425,-0.061,0.986,0.214
1542836658306,2018-11-21T16:44:18.306,6.425,-0.061,0.986,0.209
1542836658306,2018-11-21T16:44:18.306,6.425,-0.058,0.984,0.210
1542836658431,2018-11-21T16:44:18.431,6.550,-0.056,0.980,0.211
1542836658431,2018-11-21T16:44:18.431,6.550,-0.059,0.984,0.215
1542836658431,2018-11-21T16:44:18.431,6.550,-0.060,0.986,0.216
1542836658549,2018-11-21T16:44:18.549,6.668,-0.060,0.987,0.214
1542836658549,2018-11-21T16:44:18.549,6.668,-0.058,0.982,0.215
1542836658549,2018-11-21T16:44:18.549,6.668,-0.058,0.984,0.213
1542836658678,2018-11-21T16:44:18.678,6.797,-0.059,0.984,0.213
1542836658678,2018-11-21T16:44:18.678,6.797,-0.059,0.982,0.210
1542836658678,2018-11-21T16:44:18.678,6.797,-0.061,0.980,0.211
1542836658799,2018-11-21T16:44:18.799,6.918,-0.063,0.983,0.211
1542836658799,2018-11-21T16:44:18.799,6.918,-0.062,0.982,0.212
1542836658799,2018-11-21T16:44:18.799,6.918,-0.065,0.982,0.210
1542836658914,2018-11-21T16:44:18.914,7.033,-0.064,0.985,0.215
1542836658914,2018-11-21T16:44:18.914,7.033,-0.065,0.980,0.216
1542836658914,2018-11-21T16:44:18.914,7.033,-0.064,0.979,0.214
