epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1542836651794,2018-11-21T16:44:11.794,0.000,0.976,0.549,0.183
1542836651794,2018-11-21T16:44:11.794,0.000,0.854,-0.244,0.244
1542836651794,2018-11-21T16:44:11.794,0.000,0.793,0.305,0.244
1542836651939,2018-11-21T16:44:11.939,0.145,0.610,0.366,0.000
1542836651939,2018-11-21T16:44:11.939,0.145,0.244,0.427,-0.427
1542836651939,2018-11-21T16:44:11.939,0.145,0.122,0.427,-0.671
1542836652055,2018-11-21T16:44:12.055,0.261,0.122,0.244,-0.549
1542836652055,2018-11-21T16:44:12.055,0.261,0.183,0.366,-0.305
1542836652055,2018-11-21T16:44:12.055,0.261,0.305,0.366,-0.122
1542836652165,2018-11-21T16:44:12.165,0.371,0.366,0.427,-0.305
1542836652165,2018-11-21T16:44:12.165,0.371,0.305,0.793,-0.305
1542836652165,2018-11-21T16:44:12.165,0.371,0.366,0.610,0.122
1542836652284,2018-11-21T16:44:12.284,0.490,0.305,0.366,0.244
1542836652284,2018-11-21T16:44:12.284,0.490,-0.061,0.610,-0.305
1542836652284,2018-11-21T16:44:12.284,0.490,-0.549,0.976,-0.976
1542836652408,2018-11-21T16:44:12.408,0.614,-0.366,0.549,-0.915
1542836652408,2018-11-21T16:44:12.408,0.614,-0.427,-0.793,-0.732
1542836652408,2018-11-21T16:44:12.408,0.614,-0.732,0.793,-1.463
1542836652534,2018-11-21T16:44:12.534,0.740,-1.098,2.012,-1.829
1542836652534,2018-11-21T16:44:12.534,0.740,-0.732,1.341,-1.524
1542836652534,2018-11-21T16:44:12.534,0.740,0.000,0.793,-0.732
1542836652636,2018-11-21T16:44:12.636,0.842,0.305,0.549,-0.122
1542836652636,2018-11-21T16:44:12.636,0.842,0.549,1.280,-0.244
1542836652636,2018-11-21T16:44:12.636,0.842,0.732,1.646,-0.061
1542836652767,2018-11-21T16:44:12.767,0.973,1.037,1.159,0.305
1542836652767,2018-11-21T16:44:12.767,0.973,1.098,0.793,0.549
1542836652767,2018-11-21T16:44:12.767,0.973,0.976,1.098,0.610
1542836652892,2018-11-21T16:44:12.892,1.098,0.427,0.915,0.427
1542836652892,2018-11-21T16:44:12.892,1.098,0.000,0.854,0.000
1542836652892,2018-11-21T16:44:12.892,1.098,-0.366,0.610,-0.061
1542836653010,2018-11-21T16:44:13.010,1.216,-0.549,0.610,-0.244
1542836653010,2018-11-21T16:44:13.010,1.216,-0.549,0.427,-0.488
1542836653010,2018-11-21T16:44:13.010,1.216,-0.366,0.122,-0.427
1542836653127,2018-11-21T16:44:13.127,1.333,-0.183,-0.061,-0.366
1542836653127,2018-11-21T16:44:13.127,1.333,0.061,-0.244,-0.183
1542836653127,2018-11-21T16:44:13.127,1.333,0.244,-0.549,0.000
1542836653243,2018-11-21T16:44:13.243,1.449,0.183,-0.671,0.122
1542836653243,2018-11-21T16:44:13.243,1.449,0.183,-0.366,0.244
1542836653243,2018-11-21T16:44:13.243,1.449,0.244,-0.183,0.366
1542836653367,2018-11-21T16:44:13.367,1.573,0.244,-0.366,0.610
1542836653367,2018-11-21T16:44:13.367,1.573,0.427,-0.732,0.915
1542836653367,2018-11-21T16:44:13.367,1.573,0.427,-0.610,0.671
1542836653491,2018-11-21T16:44:13.491,1.697,0.427,-0.183,0.305
1542836653491,2018-11-21T16:44:13.491,1.697,0.427,-0.488,0.305
1542836653491,2018-11-21T16:44:13.491,1.697,0.610,-0.183,0.671
1542836653622,2018-11-21T16:44:13.622,1.828,0.427,0.061,0.915
1542836653622,2018-11-21T16:44:13.622,1.828,0.122,-0.061,0.122
1542836653622,2018-11-21T16:44:13.622,1.828,-0.183,-0.305,-0.244
1542836653736,2018-11-21T16:44:13.736,1.942,-0.183,-0.183,0.122
1542836653736,2018-11-21T16:44:13.736,1.942,-0.244,-0.305,0.061
1542836653736,2018-11-21T16:44:13.736,1.942,-0.366,0.061,-0.061
1542836653860,2018-11-21T16:44:13.860,2.066,-0.366,-0.061,0.305
1542836653860,2018-11-21T16:44:13.860,2.066,-0.488,-0.549,0.305
1542836653860,2018-11-21T16:44:13.860,2.066,-0.488,-0.305,0.061
1542836653984,2018-11-21T16:44:13.984,2.190,-0.610,-0.549,0.122
1542836653984,2018-11-21T16:44:13.984,2.190,-0.427,-0.549,0.183
1542836653984,2018-11-21T16:44:13.984,2.190,-0.366,-0.488,0.183
1542836654108,2018-11-21T16:44:14.108,2.314,-0.244,-0.366,0.122
1542836654108,2018-11-21T16:44:14.108,2.314,-0.122,-0.366,-0.061
1542836654108,2018-11-21T16:44:14.108,2.314,0.000,-0.244,-0.122
1542836654216,2018-11-21T16:44:14.216,2.422,0.183,-0.122,0.061
