epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1544560892330,2018-12-11T15:41:32.330,0.000,0.475,0.859,0.152
1544560892330,2018-12-11T15:41:32.330,0.000,0.499,0.871,0.146
1544560892330,2018-12-11T15:41:32.330,0.000,0.509,0.867,0.133
1544560892465,2018-12-11T15:41:32.465,0.135,0.511,0.864,0.120
1544560892465,2018-12-11T15:41:32.465,0.135,0.503,0.862,0.144
1544560892465,2018-12-11T15:41:32.465,0.135,0.497,0.863,0.173
1544560892583,2018-12-11T15:41:32.583,0.253,0.503,0.856,0.178
1544560892583,2018-12-11T15:41:32.583,0.253,0.522,0.848,0.175
1544560892583,2018-12-11T15:41:32.583,0.253,0.524,0.847,0.163
1544560892713,2018-12-11T15:41:32.713,0.383,0.506,0.857,0.143
1544560892713,2018-12-11T15:41:32.713,0.383,0.499,0.868,0.133
1544560892713,2018-12-11T15:41:32.713,0.383,0.498,0.873,0.130
1544560892833,2018-12-11T15:41:32.833,0.503,0.500,0.869,0.131
1544560892833,2018-12-11T15:41:32.833,0.503,0.510,0.859,0.145
1544560892833,2018-12-11T15:41:32.833,0.503,0.512,0.849,0.159
1544560892949,2018-12-11T15:41:32.949,0.619,0.510,0.844,0.156
1544560892949,2018-12-11T15:41:32.949,0.619,0.500,0.860,0.130
1544560892949,2018-12-11T15:41:32.949,0.619,0.490,0.890,0.131
1544560893066,2018-12-11T15:41:33.066,0.736,0.487,0.892,0.149
1544560893066,2018-12-11T15:41:33.066,0.736,0.478,0.889,0.160
1544560893066,2018-12-11T15:41:33.066,0.736,0.473,0.885,0.156
1544560893210,2018-12-11T15:41:33.210,0.880,0.497,0.879,0.148
1544560893210,2018-12-11T15:41:33.210,0.880,0.523,0.863,0.146
1544560893210,2018-12-11T15:41:33.210,0.880,0.518,0.856,0.146
1544560893325,2018-12-11T15:41:33.325,0.995,0.499,0.871,0.158
1544560893325,2018-12-11T15:41:33.325,0.995,0.487,0.875,0.162
1544560893325,2018-12-11T15:41:33.325,0.995,0.494,0.871,0.149
1544560893442,2018-12-11T15:41:33.442,1.112,0.512,0.865,0.142
1544560893442,2018-12-11T15:41:33.442,1.112,0.518,0.861,0.146
1544560893442,2018-12-11T15:41:33.442,1.112,0.512,0.865,0.152
1544560893557,2018-12-11T15:41:33.557,1.227,0.503,0.868,0.155
1544560893557,2018-12-11T15:41:33.557,1.227,0.495,0.868,0.159
1544560893557,2018-12-11T15:41:33.557,1.227,0.494,0.866,0.159
1544560893693,2018-12-11T15:41:33.693,1.363,0.499,0.862,0.151
1544560893693,2018-12-11T15:41:33.693,1.363,0.499,0.866,0.143
1544560893693,2018-12-11T15:41:33.693,1.363,0.496,0.873,0.145
1544560893815,2018-12-11T15:41:33.815,1.485,0.489,0.875,0.156
1544560893815,2018-12-11T15:41:33.815,1.485,0.488,0.877,0.164
