epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1544566441613,2018-12-11T17:14:01.613,0.000,-0.478,-0.837,0.190
1544566441613,2018-12-11T17:14:01.613,0.000,-0.481,-0.850,0.191
1544566441613,2018-12-11T17:14:01.613,0.000,-0.479,-0.843,0.192
1544566441729,2018-12-11T17:14:01.729,0.116,-0.474,-0.840,0.193
1544566441729,2018-12-11T17:14:01.729,0.116,-0.479,-0.848,0.193
1544566441729,2018-12-11T17:14:01.729,0.116,-0.482,-0.845,0.192
1544566441840,2018-12-11T17:14:01.840,0.227,-0.482,-0.842,0.191
1544566441840,2018-12-11T17:14:01.840,0.227,-0.484,-0.840,0.192
1544566441840,2018-12-11T17:14:01.840,0.227,-0.482,-0.836,0.189
1544566441964,2018-12-11T17:14:01.964,0.351,-0.484,-0.840,0.191
1544566441964,2018-12-11T17:14:01.964,0.351,-0.486,-0.843,0.193
1544566441964,2018-12-11T17:14:01.964,0.351,-0.483,-0.841,0.196
1544566442094,2018-12-11T17:14:02.094,0.481,-0.481,-0.841,0.197
1544566442094,2018-12-11T17:14:02.094,0.481,-0.479,-0.839,0.196
1544566442094,2018-12-11T17:14:02.094,0.481,-0.479,-0.840,0.194
1544566442204,2018-12-11T17:14:02.204,0.591,-0.483,-0.841,0.193
1544566442204,2018-12-11T17:14:02.204,0.591,-0.479,-0.844,0.193
1544566442204,2018-12-11T17:14:02.204,0.591,-0.480,-0.844,0.192
1544566442323,2018-12-11T17:14:02.323,0.710,-0.477,-0.840,0.189
1544566442323,2018-12-11T17:14:02.323,0.710,-0.470,-0.842,0.188
1544566442323,2018-12-11T17:14:02.323,0.710,-0.476,-0.847,0.192
1544566442450,2018-12-11T17:14:02.450,0.837,-0.477,-0.843,0.199
1544566442450,2018-12-11T17:14:02.450,0.837,-0.477,-0.845,0.203
1544566442450,2018-12-11T17:14:02.450,0.837,-0.485,-0.840,0.203
1544566442578,2018-12-11T17:14:02.578,0.965,-0.486,-0.837,0.199
1544566442578,2018-12-11T17:14:02.578,0.965,-0.484,-0.841,0.195
1544566442578,2018-12-11T17:14:02.578,0.965,-0.486,-0.843,0.191
1544566442698,2018-12-11T17:14:02.698,1.085,-0.485,-0.840,0.188
1544566442698,2018-12-11T17:14:02.698,1.085,-0.479,-0.843,0.189
1544566442698,2018-12-11T17:14:02.698,1.085,-0.480,-0.842,0.192
1544566442809,2018-12-11T17:14:02.809,1.196,-0.476,-0.843,0.194
1544566442809,2018-12-11T17:14:02.809,1.196,-0.479,-0.841,0.198
1544566442809,2018-12-11T17:14:02.809,1.196,-0.481,-0.846,0.194
1544566442930,2018-12-11T17:14:02.930,1.317,-0.482,-0.844,0.195
1544566442930,2018-12-11T17:14:02.930,1.317,-0.479,-0.840,0.192
1544566442930,2018-12-11T17:14:02.930,1.317,-0.483,-0.841,0.193
1544566443054,2018-12-11T17:14:03.054,1.441,-0.483,-0.842,0.195
1544566443054,2018-12-11T17:14:03.054,1.441,-0.482,-0.842,0.196
1544566443054,2018-12-11T17:14:03.054,1.441,-0.480,-0.839,0.200
1544566443180,2018-12-11T17:14:03.180,1.567,-0.481,-0.837,0.200
1544566443180,2018-12-11T17:14:03.180,1.567,-0.483,-0.840,0.200
1544566443180,2018-12-11T17:14:03.180,1.567,-0.484,-0.839,0.199
1544566443291,2018-12-11T17:14:03.291,1.678,-0.484,-0.837,0.198
1544566443291,2018-12-11T17:14:03.291,1.678,-0.485,-0.837,0.196
1544566443291,2018-12-11T17:14:03.291,1.678,-0.480,-0.838,0.198
1544566443421,2018-12-11T17:14:03.421,1.808,-0.477,-0.837,0.207
1544566443421,2018-12-11T17:14:03.421,1.808,-0.482,-0.837,0.203
1544566443421,2018-12-11T17:14:03.421,1.808,-0.493,-0.826,0.185
1544566443543,2018-12-11T17:14:03.543,1.930,-0.500,-0.833,0.189
1544566443543,2018-12-11T17:14:03.543,1.930,-0.484,-0.851,0.193
1544566443543,2018-12-11T17:14:03.543,1.930,-0.473,-0.860,0.207
1544566443669,2018-12-11T17:14:03.669,2.056,-0.473,-0.843,0.207
1544566443669,2018-12-11T17:14:03.669,2.056,-0.473,-0.835,0.200
1544566443669,2018-12-11T17:14:03.669,2.056,-0.481,-0.842,0.195
1544566443789,2018-12-11T17:14:03.789,2.176,-0.479,-0.838,0.187
1544566443789,2018-12-11T17:14:03.789,2.176,-0.466,-0.840,0.183
1544566443789,2018-12-11T17:14:03.789,2.176,-0.481,-0.863,0.184
1544566443905,2018-12-11T17:14:03.905,2.292,-0.486,-0.873,0.201
1544566443905,2018-12-11T17:14:03.905,2.292,-0.469,-0.845,0.215
1544566443905,2018-12-11T17:14:03.905,2.292,-0.458,-0.830,0.215
1544566444049,2018-12-11T17:14:04.049,2.436,-0.464,-0.838,0.202
1544566444049,2018-12-11T17:14:04.049,2.436,-0.490,-0.835,0.188
1544566444049,2018-12-11T17:14:04.049,2.436,-0.498,-0.833,0.181
1544566444175,2018-12-11T17:14:04.175,2.562,-0.488,-0.850,0.195
1544566444175,2018-12-11T17:14:04.175,2.562,-0.477,-0.845,0.204
1544566444175,2018-12-11T17:14:04.175,2.562,-0.478,-0.835,0.204
1544566444281,2018-12-11T17:14:04.281,2.668,-0.480,-0.833,0.204
1544566444281,2018-12-11T17:14:04.281,2.668,-0.477,-0.833,0.199
1544566444281,2018-12-11T17:14:04.281,2.668,-0.486,-0.839,0.200
1544566444399,2018-12-11T17:14:04.399,2.786,-0.486,-0.844,0.202
1544566444399,2018-12-11T17:14:04.399,2.786,-0.482,-0.842,0.202
1544566444399,2018-12-11T17:14:04.399,2.786,-0.478,-0.843,0.202
1544566444511,2018-12-11T17:14:04.511,2.898,-0.470,-0.842,0.200
1544566444511,2018-12-11T17:14:04.511,2.898,-0.471,-0.841,0.200
1544566444511,2018-12-11T17:14:04.511,2.898,-0.471,-0.843,0.197
1544566444656,2018-12-11T17:14:04.656,3.043,-0.472,-0.850,0.201
1544566444656,2018-12-11T17:14:04.656,3.043,-0.467,-0.849,0.198
1544566444656,2018-12-11T17:14:04.656,3.043,-0.467,-0.848,0.199
1544566444771,2018-12-11T17:14:04.771,3.158,-0.465,-0.844,0.199
1544566444771,2018-12-11T17:14:04.771,3.158,-0.471,-0.841,0.198
1544566444771,2018-12-11T17:14:04.771,3.158,-0.477,-0.845,0.199
1544566444885,2018-12-11T17:14:04.885,3.272,-0.478,-0.846,0.199
1544566444885,2018-12-11T17:14:04.885,3.272,-0.482,-0.844,0.197
1544566444885,2018-12-11T17:14:04.885,3.272,-0.477,-0.838,0.199
1544566445001,2018-12-11T17:14:05.001,3.388,-0.476,-0.839,0.201
1544566445001,2018-12-11T17:14:05.001,3.388,-0.473,-0.845,0.200
1544566445001,2018-12-11T17:14:05.001,3.388,-0.474,-0.843,0.199
1544566445118,2018-12-11T17:14:05.118,3.505,-0.477,-0.846,0.197
1544566445118,2018-12-11T17:14:05.118,3.505,-0.470,-0.848,0.196
1544566445118,2018-12-11T17:14:05.118,3.505,-0.472,-0.844,0.198
1544566445240,2018-12-11T17:14:05.240,3.627,-0.472,-0.849,0.197
1544566445240,2018-12-11T17:14:05.240,3.627,-0.473,-0.846,0.201
1544566445240,2018-12-11T17:14:05.240,3.627,-0.471,-0.838,0.201
1544566445365,2018-12-11T17:14:05.365,3.752,-0.474,-0.846,0.201
1544566445365,2018-12-11T17:14:05.365,3.752,-0.480,-0.850,0.199
1544566445365,2018-12-11T17:14:05.365,3.752,-0.479,-0.848,0.199
1544566445492,2018-12-11T17:14:05.492,3.879,-0.475,-0.847,0.198
1544566445492,2018-12-11T17:14:05.492,3.879,-0.472,-0.839,0.198
1544566445492,2018-12-11T17:14:05.492,3.879,-0.467,-0.839,0.197
1544566445601,2018-12-11T17:14:05.601,3.988,-0.473,-0.842,0.196
1544566445601,2018-12-11T17:14:05.601,3.988,-0.475,-0.847,0.196
1544566445601,2018-12-11T17:14:05.601,3.988,-0.475,-0.849,0.199
1544566445726,2018-12-11T17:14:05.726,4.113,-0.478,-0.850,0.200
1544566445726,2018-12-11T17:14:05.726,4.113,-0.476,-0.841,0.199
1544566445726,2018-12-11T17:14:05.726,4.113,-0.480,-0.842,0.200
1544566445850,2018-12-11T17:14:05.850,4.237,-0.479,-0.839,0.203
1544566445850,2018-12-11T17:14:05.850,4.237,-0.473,-0.841,0.203
1544566445850,2018-12-11T17:14:05.850,4.237,-0.476,-0.847,0.199
1544566445975,2018-12-11T17:14:05.975,4.362,-0.476,-0.844,0.193
1544566445975,2018-12-11T17:14:05.975,4.362,-0.473,-0.843,0.187
1544566445975,2018-12-11T17:14:05.975,4.362,-0.474,-0.846,0.188
1544566446086,2018-12-11T17:14:06.086,4.473,-0.470,-0.849,0.194
1544566446086,2018-12-11T17:14:06.086,4.473,-0.468,-0.845,0.199
1544566446086,2018-12-11T17:14:06.086,4.473,-0.475,-0.845,0.203
1544566446210,2018-12-11T17:14:06.210,4.597,-0.477,-0.846,0.205
1544566446210,2018-12-11T17:14:06.210,4.597,-0.478,-0.844,0.206
1544566446210,2018-12-11T17:14:06.210,4.597,-0.479,-0.848,0.205
1544566446328,2018-12-11T17:14:06.328,4.715,-0.472,-0.845,0.197
1544566446328,2018-12-11T17:14:06.328,4.715,-0.474,-0.849,0.194
1544566446328,2018-12-11T17:14:06.328,4.715,-0.473,-0.843,0.190
1544566446485,2018-12-11T17:14:06.485,4.872,-0.466,-0.842,0.192
1544566446485,2018-12-11T17:14:06.485,4.872,-0.465,-0.847,0.195
1544566446485,2018-12-11T17:14:06.485,4.872,-0.466,-0.844,0.195
1544566446576,2018-12-11T17:14:06.576,4.963,-0.473,-0.845,0.194
1544566446576,2018-12-11T17:14:06.576,4.963,-0.480,-0.850,0.201
1544566446576,2018-12-11T17:14:06.576,4.963,-0.476,-0.840,0.200
1544566446691,2018-12-11T17:14:06.691,5.078,-0.475,-0.836,0.201
1544566446691,2018-12-11T17:14:06.691,5.078,-0.478,-0.849,0.199
