epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544561587690,2018-12-11T15:53:07.690,0.000,8.720,5.793,3.537
1544561587690,2018-12-11T15:53:07.690,0.000,7.988,6.220,4.390
1544561587690,2018-12-11T15:53:07.690,0.000,6.707,7.256,4.878
1544561587814,2018-12-11T15:53:07.814,0.124,4.939,5.854,4.390
1544561587814,2018-12-11T15:53:07.814,0.124,2.317,2.988,4.024
1544561587814,2018-12-11T15:53:07.814,0.124,-0.549,1.402,3.598
1544561587927,2018-12-11T15:53:07.927,0.237,-2.378,-1.341,2.988
1544561587927,2018-12-11T15:53:07.927,0.237,-2.683,-3.841,1.585
1544561587927,2018-12-11T15:53:07.927,0.237,-2.927,-4.207,0.549
1544561588074,2018-12-11T15:53:08.074,0.384,-3.415,-5.366,0.427
1544561588074,2018-12-11T15:53:08.074,0.384,-3.415,-7.439,0.122
1544561588074,2018-12-11T15:53:08.074,0.384,-3.537,-7.927,0.427
1544561588198,2018-12-11T15:53:08.198,0.508,-3.476,-6.707,0.976
1544561588198,2018-12-11T15:53:08.198,0.508,-2.988,-4.634,0.915
1544561588198,2018-12-11T15:53:08.198,0.508,-3.476,-4.268,1.463
1544561588311,2018-12-11T15:53:08.311,0.621,-4.573,-5.732,1.890
1544561588311,2018-12-11T15:53:08.311,0.621,-5.305,-6.890,2.683
1544561588311,2018-12-11T15:53:08.311,0.621,-5.244,-7.134,2.866
1544561588424,2018-12-11T15:53:08.424,0.734,-4.390,-5.915,2.134
1544561588424,2018-12-11T15:53:08.424,0.734,-3.293,-3.232,1.341
1544561588424,2018-12-11T15:53:08.424,0.734,-1.646,-0.427,0.671
1544561588536,2018-12-11T15:53:08.536,0.846,-0.122,1.585,0.427
1544561588536,2018-12-11T15:53:08.536,0.846,0.366,2.744,0.183
1544561588536,2018-12-11T15:53:08.536,0.846,-0.122,3.110,0.854
1544561588659,2018-12-11T15:53:08.659,0.969,-0.976,1.098,2.378
1544561588659,2018-12-11T15:53:08.659,0.969,-1.707,-1.463,2.500
1544561588659,2018-12-11T15:53:08.659,0.969,-1.402,-1.159,-0.732
1544561588783,2018-12-11T15:53:08.783,1.093,1.585,4.695,-4.085
1544561588783,2018-12-11T15:53:08.783,1.093,4.268,9.024,-5.488
1544561588783,2018-12-11T15:53:08.783,1.093,3.963,6.585,-5.305
1544561588908,2018-12-11T15:53:08.908,1.218,0.976,1.829,-4.695
1544561588908,2018-12-11T15:53:08.908,1.218,-2.012,-2.988,-3.780
1544561588908,2018-12-11T15:53:08.908,1.218,-3.902,-5.305,-2.317
1544561589030,2018-12-11T15:53:09.030,1.340,-4.756,-4.756,-0.671
1544561589030,2018-12-11T15:53:09.030,1.340,-5.244,-5.610,-0.244
