epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1544562163802,2018-12-11T16:02:43.802,0.000,0.662,0.854,0.498
1544562163802,2018-12-11T16:02:43.802,0.000,0.750,0.859,0.433
1544562163802,2018-12-11T16:02:43.802,0.000,0.691,0.784,0.319
1544562163933,2018-12-11T16:02:43.933,0.131,0.663,0.778,0.269
1544562163933,2018-12-11T16:02:43.933,0.131,0.622,0.794,0.290
1544562163933,2018-12-11T16:02:43.933,0.131,0.574,0.777,0.268
1544562164058,2018-12-11T16:02:44.058,0.256,0.572,0.778,0.248
1544562164058,2018-12-11T16:02:44.058,0.256,0.567,0.801,0.248
1544562164058,2018-12-11T16:02:44.058,0.256,0.557,0.818,0.243
1544562164183,2018-12-11T16:02:44.183,0.381,0.515,0.833,0.230
1544562164183,2018-12-11T16:02:44.183,0.381,0.472,0.841,0.226
1544562164183,2018-12-11T16:02:44.183,0.381,0.468,0.838,0.221
1544562164295,2018-12-11T16:02:44.295,0.493,0.536,0.830,0.233
1544562164295,2018-12-11T16:02:44.295,0.493,0.512,0.836,0.245
1544562164295,2018-12-11T16:02:44.295,0.493,0.501,0.834,0.248
1544562164430,2018-12-11T16:02:44.430,0.628,0.524,0.836,0.257
1544562164430,2018-12-11T16:02:44.430,0.628,0.499,0.838,0.250
1544562164430,2018-12-11T16:02:44.430,0.628,0.476,0.839,0.229
1544562164535,2018-12-11T16:02:44.535,0.733,0.575,0.855,0.236
1544562164535,2018-12-11T16:02:44.535,0.733,0.669,0.872,0.279
1544562164535,2018-12-11T16:02:44.535,0.733,0.551,0.885,0.326
1544562164688,2018-12-11T16:02:44.688,0.886,0.453,0.897,0.337
1544562164688,2018-12-11T16:02:44.688,0.886,0.264,0.878,0.295
1544562164688,2018-12-11T16:02:44.688,0.886,0.226,0.831,0.261
1544562164775,2018-12-11T16:02:44.775,0.973,0.285,0.802,0.309
1544562164775,2018-12-11T16:02:44.775,0.973,0.272,0.844,0.387
1544562164775,2018-12-11T16:02:44.775,0.973,0.266,0.838,0.425
1544562164903,2018-12-11T16:02:44.903,1.101,0.320,0.807,0.363
1544562164903,2018-12-11T16:02:44.903,1.101,0.470,0.833,0.262
1544562164903,2018-12-11T16:02:44.903,1.101,0.574,0.886,0.283
1544562165025,2018-12-11T16:02:45.025,1.223,0.574,0.923,0.337
1544562165025,2018-12-11T16:02:45.025,1.223,0.489,0.916,0.323
1544562165025,2018-12-11T16:02:45.025,1.223,0.445,0.857,0.292
1544562165154,2018-12-11T16:02:45.154,1.352,0.437,0.821,0.316
1544562165154,2018-12-11T16:02:45.154,1.352,0.435,0.803,0.342
1544562165154,2018-12-11T16:02:45.154,1.352,0.463,0.817,0.346
1544562165267,2018-12-11T16:02:45.267,1.465,0.436,0.844,0.329
1544562165267,2018-12-11T16:02:45.267,1.465,0.386,0.843,0.293
1544562165267,2018-12-11T16:02:45.267,1.465,0.477,0.835,0.302
1544562165381,2018-12-11T16:02:45.381,1.579,0.472,0.851,0.328
1544562165381,2018-12-11T16:02:45.381,1.579,0.466,0.845,0.317
1544562165381,2018-12-11T16:02:45.381,1.579,0.491,0.848,0.326
1544562165516,2018-12-11T16:02:45.516,1.714,0.468,0.855,0.329
1544562165516,2018-12-11T16:02:45.516,1.714,0.438,0.849,0.295
1544562165516,2018-12-11T16:02:45.516,1.714,0.441,0.845,0.298
1544562165668,2018-12-11T16:02:45.668,1.866,0.453,0.845,0.318
1544562165668,2018-12-11T16:02:45.668,1.866,0.432,0.855,0.313
1544562165668,2018-12-11T16:02:45.668,1.866,0.349,0.856,0.279
1544562165777,2018-12-11T16:02:45.777,1.975,0.419,0.831,0.244
1544562165777,2018-12-11T16:02:45.777,1.975,0.555,0.859,0.269
1544562165777,2018-12-11T16:02:45.777,1.975,0.437,0.879,0.266
1544562165888,2018-12-11T16:02:45.888,2.086,0.500,0.853,0.258
1544562165888,2018-12-11T16:02:45.888,2.086,0.518,0.850,0.299
1544562165888,2018-12-11T16:02:45.888,2.086,0.498,0.843,0.292
1544562166001,2018-12-11T16:02:46.001,2.199,0.467,0.839,0.256
1544562166001,2018-12-11T16:02:46.001,2.199,0.426,0.837,0.229
1544562166001,2018-12-11T16:02:46.001,2.199,0.435,0.836,0.213
1544562166128,2018-12-11T16:02:46.128,2.326,0.523,0.835,0.194
1544562166128,2018-12-11T16:02:46.128,2.326,0.522,0.848,0.212
1544562166128,2018-12-11T16:02:46.128,2.326,0.489,0.873,0.222
1544562166241,2018-12-11T16:02:46.241,2.439,0.544,0.888,0.213
1544562166241,2018-12-11T16:02:46.241,2.439,0.518,0.902,0.205
1544562166241,2018-12-11T16:02:46.241,2.439,0.444,0.895,0.151
1544562166364,2018-12-11T16:02:46.364,2.562,0.472,0.835,0.163
1544562166364,2018-12-11T16:02:46.364,2.562,0.510,0.822,0.229
1544562166364,2018-12-11T16:02:46.364,2.562,0.527,0.831,0.256
1544562166477,2018-12-11T16:02:46.477,2.675,0.528,0.845,0.238
1544562166477,2018-12-11T16:02:46.477,2.675,0.502,0.862,0.198
