epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544562163724,2018-12-11T16:02:43.724,0.000,-69.329,-125.671,15.610
1544562163724,2018-12-11T16:02:43.724,0.000,-71.220,-140.671,14.939
1544562163724,2018-12-11T16:02:43.724,0.000,-68.415,-191.829,4.573
1544562163851,2018-12-11T16:02:43.851,0.127,-58.720,-169.451,-7.744
1544562163851,2018-12-11T16:02:43.851,0.127,-39.817,-93.415,-9.390
1544562163851,2018-12-11T16:02:43.851,0.127,-13.841,-35.732,-4.024
1544562163990,2018-12-11T16:02:43.990,0.266,2.073,-1.768,-1.280
1544562163990,2018-12-11T16:02:43.990,0.266,9.695,17.073,-7.378
1544562163990,2018-12-11T16:02:43.990,0.266,15.305,23.841,-8.720
1544562164090,2018-12-11T16:02:44.090,0.366,17.500,27.866,-7.195
1544562164090,2018-12-11T16:02:44.090,0.366,17.195,32.439,-7.683
1544562164090,2018-12-11T16:02:44.090,0.366,12.988,28.659,-7.073
1544562164215,2018-12-11T16:02:44.215,0.491,7.195,16.463,-8.476
1544562164215,2018-12-11T16:02:44.215,0.491,4.146,5.427,-11.707
1544562164215,2018-12-11T16:02:44.215,0.491,4.573,2.439,-8.963
1544562164339,2018-12-11T16:02:44.339,0.615,4.024,6.402,-4.085
1544562164339,2018-12-11T16:02:44.339,0.615,3.354,1.890,-1.463
1544562164339,2018-12-11T16:02:44.339,0.615,5.061,1.585,-1.037
1544562164460,2018-12-11T16:02:44.460,0.736,5.854,8.415,-1.524
1544562164460,2018-12-11T16:02:44.460,0.736,5.976,10.183,-1.341
1544562164460,2018-12-11T16:02:44.460,0.736,5.488,11.463,0.976
1544562164580,2018-12-11T16:02:44.580,0.856,8.720,50.366,-0.244
1544562164580,2018-12-11T16:02:44.580,0.856,11.768,93.598,-3.354
1544562164580,2018-12-11T16:02:44.580,0.856,20.732,127.988,-8.476
1544562164695,2018-12-11T16:02:44.695,0.971,12.195,133.476,-9.451
1544562164695,2018-12-11T16:02:44.695,0.971,2.012,80.549,-6.159
1544562164695,2018-12-11T16:02:44.695,0.971,5.610,39.024,-2.988
1544562164820,2018-12-11T16:02:44.820,1.096,5.366,5.671,2.134
1544562164820,2018-12-11T16:02:44.820,1.096,1.402,-30.610,8.293
1544562164820,2018-12-11T16:02:44.820,1.096,0.122,-60.915,19.573
1544562164945,2018-12-11T16:02:44.945,1.221,-4.817,-83.293,21.098
1544562164945,2018-12-11T16:02:44.945,1.221,-5.671,-71.829,7.195
1544562164945,2018-12-11T16:02:44.945,1.221,-2.866,-26.341,-0.061
1544562165079,2018-12-11T16:02:45.079,1.355,-7.195,-2.195,-1.402
1544562165079,2018-12-11T16:02:45.079,1.355,-9.146,1.768,-2.988
1544562165079,2018-12-11T16:02:45.079,1.355,-6.280,1.707,-0.793
1544562165199,2018-12-11T16:02:45.199,1.475,-2.805,2.256,-0.488
1544562165199,2018-12-11T16:02:45.199,1.475,0.915,1.890,-1.159
1544562165199,2018-12-11T16:02:45.199,1.475,3.171,4.268,-1.768
1544562165379,2018-12-11T16:02:45.379,1.655,2.622,-3.171,-3.232
1544562165379,2018-12-11T16:02:45.379,1.655,1.707,-16.768,-2.500
1544562165379,2018-12-11T16:02:45.379,1.655,0.305,-13.293,-1.037
1544562165440,2018-12-11T16:02:45.440,1.716,-2.317,-12.561,-1.524
1544562165440,2018-12-11T16:02:45.440,1.716,-2.683,-9.817,-0.610
1544562165440,2018-12-11T16:02:45.440,1.716,-1.402,-0.366,-0.061
1544562165570,2018-12-11T16:02:45.570,1.846,-0.427,3.171,-0.488
1544562165570,2018-12-11T16:02:45.570,1.846,0.732,0.610,-0.732
1544562165570,2018-12-11T16:02:45.570,1.846,2.195,0.000,-0.793
1544562165676,2018-12-11T16:02:45.676,1.952,3.780,1.768,-1.098
1544562165676,2018-12-11T16:02:45.676,1.952,2.622,-6.341,-3.354
