epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544563733352,2018-12-11T16:28:53.352,0.000,-1.220,-1.280,-0.061
1544563733352,2018-12-11T16:28:53.352,0.000,-0.488,-1.280,0.366
1544563733352,2018-12-11T16:28:53.352,0.000,-0.427,-1.098,0.488
1544563733476,2018-12-11T16:28:53.476,0.124,0.183,-1.037,0.732
1544563733476,2018-12-11T16:28:53.476,0.124,0.549,-1.341,0.732
1544563733476,2018-12-11T16:28:53.476,0.124,0.854,-0.915,0.610
1544563733601,2018-12-11T16:28:53.601,0.249,0.549,-1.341,0.671
1544563733601,2018-12-11T16:28:53.601,0.249,0.061,-1.402,1.280
1544563733601,2018-12-11T16:28:53.601,0.249,-0.244,-1.341,1.646
1544563733728,2018-12-11T16:28:53.728,0.376,-0.244,-1.220,1.280
1544563733728,2018-12-11T16:28:53.728,0.376,-0.427,-1.037,0.610
1544563733728,2018-12-11T16:28:53.728,0.376,-0.793,-1.585,-0.122
1544563733849,2018-12-11T16:28:53.849,0.497,-0.793,-1.646,-0.366
1544563733849,2018-12-11T16:28:53.849,0.497,-0.915,-1.646,-0.122
1544563733849,2018-12-11T16:28:53.849,0.497,-0.854,-1.341,-0.366
1544563733975,2018-12-11T16:28:53.975,0.623,0.000,-1.341,0.549
1544563733975,2018-12-11T16:28:53.975,0.623,1.037,-2.256,1.707
1544563733975,2018-12-11T16:28:53.975,0.623,1.768,-2.988,0.976
1544563734097,2018-12-11T16:28:54.097,0.745,1.890,-2.439,-0.488
1544563734097,2018-12-11T16:28:54.097,0.745,1.585,-2.439,-1.220
1544563734097,2018-12-11T16:28:54.097,0.745,1.280,-1.951,-0.915
1544563734209,2018-12-11T16:28:54.209,0.857,1.463,0.427,-0.061
1544563734209,2018-12-11T16:28:54.209,0.857,1.159,1.280,0.915
1544563734209,2018-12-11T16:28:54.209,0.857,-0.061,0.305,1.098
1544563734348,2018-12-11T16:28:54.348,0.996,-0.488,0.915,0.915
1544563734348,2018-12-11T16:28:54.348,0.996,-0.488,1.341,1.220
1544563734348,2018-12-11T16:28:54.348,0.996,-0.671,1.037,1.829
1544563734461,2018-12-11T16:28:54.461,1.109,-0.793,1.341,1.524
1544563734461,2018-12-11T16:28:54.461,1.109,-0.854,0.610,0.976
