epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1544565646074,2018-12-11T17:00:46.074,0.000,8.354,-6.402,-6.951
1544565646074,2018-12-11T17:00:46.074,0.000,9.573,-11.585,-6.524
1544565646074,2018-12-11T17:00:46.074,0.000,16.159,-44.146,-1.646
1544565646165,2018-12-11T17:00:46.165,0.091,25.305,-95.915,5.000
1544565646165,2018-12-11T17:00:46.165,0.091,24.512,-107.500,6.463
1544565646165,2018-12-11T17:00:46.165,0.091,15.427,-84.146,1.951
1544565646308,2018-12-11T17:00:46.308,0.234,10.244,-57.805,-3.476
1544565646308,2018-12-11T17:00:46.308,0.234,7.256,-26.220,-5.305
1544565646308,2018-12-11T17:00:46.308,0.234,5.061,-1.159,-4.085
1544565646422,2018-12-11T17:00:46.422,0.348,-0.244,24.268,-2.134
1544565646422,2018-12-11T17:00:46.422,0.348,-5.122,38.171,-1.585
1544565646422,2018-12-11T17:00:46.422,0.348,-6.159,24.512,-1.341
1544565646555,2018-12-11T17:00:46.555,0.481,-6.220,17.500,-2.683
1544565646555,2018-12-11T17:00:46.555,0.481,-3.354,13.537,-4.024
1544565646555,2018-12-11T17:00:46.555,0.481,2.439,3.720,-2.317
1544565646660,2018-12-11T17:00:46.660,0.586,5.854,-10.427,-0.122
1544565646660,2018-12-11T17:00:46.660,0.586,5.671,-12.805,1.037
1544565646660,2018-12-11T17:00:46.660,0.586,5.000,-8.963,1.524
1544565646785,2018-12-11T17:00:46.785,0.711,4.390,-5.671,1.646
1544565646785,2018-12-11T17:00:46.785,0.711,2.805,0.427,0.854
1544565646785,2018-12-11T17:00:46.785,0.711,1.098,8.659,-0.366
1544565646919,2018-12-11T17:00:46.919,0.845,-0.305,16.646,-1.646
1544565646919,2018-12-11T17:00:46.919,0.845,-0.183,14.146,-1.951
1544565646919,2018-12-11T17:00:46.919,0.845,0.122,9.085,-1.341
1544565647033,2018-12-11T17:00:47.033,0.959,0.854,4.878,-0.976
1544565647033,2018-12-11T17:00:47.033,0.959,2.073,0.732,-0.549
1544565647033,2018-12-11T17:00:47.033,0.959,3.963,-2.744,-0.244
1544565647118,2018-12-11T17:00:47.118,1.044,5.183,-2.561,0.183
1544565647118,2018-12-11T17:00:47.118,1.044,4.085,-1.463,0.671
1544565647118,2018-12-11T17:00:47.118,1.044,2.439,-0.122,0.610
1544565647269,2018-12-11T17:00:47.269,1.195,1.220,1.098,0.305
1544565647269,2018-12-11T17:00:47.269,1.195,0.610,1.524,0.671
