epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1544566442402,2018-12-11T17:14:02.402,0.000,-0.135,0.953,0.099
1544566442402,2018-12-11T17:14:02.402,0.000,-0.146,0.965,0.102
1544566442402,2018-12-11T17:14:02.402,0.000,-0.161,0.962,0.102
1544566442518,2018-12-11T17:14:02.518,0.116,-0.165,0.964,0.101
1544566442518,2018-12-11T17:14:02.518,0.116,-0.159,0.962,0.102
1544566442518,2018-12-11T17:14:02.518,0.116,-0.158,0.962,0.106
1544566442642,2018-12-11T17:14:02.642,0.240,-0.159,0.961,0.106
1544566442642,2018-12-11T17:14:02.642,0.240,-0.164,0.958,0.112
1544566442642,2018-12-11T17:14:02.642,0.240,-0.169,0.965,0.115
1544566442742,2018-12-11T17:14:02.742,0.340,-0.173,0.961,0.107
1544566442742,2018-12-11T17:14:02.742,0.340,-0.165,0.957,0.107
1544566442742,2018-12-11T17:14:02.742,0.340,-0.160,0.960,0.106
1544566442866,2018-12-11T17:14:02.866,0.464,-0.161,0.960,0.102
1544566442866,2018-12-11T17:14:02.866,0.464,-0.157,0.961,0.105
1544566442866,2018-12-11T17:14:02.866,0.464,-0.158,0.963,0.108
1544566442992,2018-12-11T17:14:02.992,0.590,-0.167,0.960,0.109
1544566442992,2018-12-11T17:14:02.992,0.590,-0.169,0.959,0.112
1544566442992,2018-12-11T17:14:02.992,0.590,-0.170,0.959,0.111
1544566443099,2018-12-11T17:14:03.099,0.697,-0.170,0.959,0.109
1544566443099,2018-12-11T17:14:03.099,0.697,-0.164,0.958,0.108
1544566443099,2018-12-11T17:14:03.099,0.697,-0.165,0.957,0.106
1544566443226,2018-12-11T17:14:03.226,0.824,-0.165,0.959,0.109
1544566443226,2018-12-11T17:14:03.226,0.824,-0.168,0.961,0.109
1544566443226,2018-12-11T17:14:03.226,0.824,-0.171,0.958,0.114
1544566443345,2018-12-11T17:14:03.345,0.943,-0.175,0.960,0.113
1544566443345,2018-12-11T17:14:03.345,0.943,-0.181,0.959,0.118
1544566443345,2018-12-11T17:14:03.345,0.943,-0.179,0.949,0.116
1544566443459,2018-12-11T17:14:03.459,1.057,-0.170,0.956,0.102
1544566443459,2018-12-11T17:14:03.459,1.057,-0.160,0.968,0.099
1544566443459,2018-12-11T17:14:03.459,1.057,-0.161,0.965,0.104
1544566443583,2018-12-11T17:14:03.583,1.181,-0.162,0.951,0.100
1544566443583,2018-12-11T17:14:03.583,1.181,-0.162,0.955,0.104
1544566443583,2018-12-11T17:14:03.583,1.181,-0.174,0.970,0.117
1544566443695,2018-12-11T17:14:03.695,1.293,-0.202,0.963,0.122
1544566443695,2018-12-11T17:14:03.695,1.293,-0.214,0.957,0.125
1544566443695,2018-12-11T17:14:03.695,1.293,-0.214,0.958,0.126
1544566443819,2018-12-11T17:14:03.819,1.417,-0.198,0.958,0.119
1544566443819,2018-12-11T17:14:03.819,1.417,-0.169,0.953,0.103
1544566443819,2018-12-11T17:14:03.819,1.417,-0.147,0.954,0.099
1544566443943,2018-12-11T17:14:03.943,1.541,-0.152,0.946,0.105
1544566443943,2018-12-11T17:14:03.943,1.541,-0.175,0.945,0.111
1544566443943,2018-12-11T17:14:03.943,1.541,-0.199,0.941,0.122
1544566444068,2018-12-11T17:14:04.068,1.666,-0.218,0.939,0.126
1544566444068,2018-12-11T17:14:04.068,1.666,-0.242,0.933,0.130
1544566444068,2018-12-11T17:14:04.068,1.666,-0.261,0.947,0.138
1544566444179,2018-12-11T17:14:04.179,1.777,-0.270,0.959,0.147
1544566444179,2018-12-11T17:14:04.179,1.777,-0.258,0.956,0.138
1544566444179,2018-12-11T17:14:04.179,1.777,-0.236,0.952,0.124
1544566444302,2018-12-11T17:14:04.302,1.900,-0.212,0.954,0.109
1544566444302,2018-12-11T17:14:04.302,1.900,-0.186,0.954,0.091
1544566444302,2018-12-11T17:14:04.302,1.900,-0.162,0.950,0.090
1544566444418,2018-12-11T17:14:04.418,2.016,-0.152,0.941,0.103
1544566444418,2018-12-11T17:14:04.418,2.016,-0.188,0.946,0.111
1544566444418,2018-12-11T17:14:04.418,2.016,-0.211,0.953,0.116
1544566444542,2018-12-11T17:14:04.542,2.140,-0.216,0.956,0.124
1544566444542,2018-12-11T17:14:04.542,2.140,-0.218,0.948,0.129
1544566444542,2018-12-11T17:14:04.542,2.140,-0.222,0.946,0.126
1544566444656,2018-12-11T17:14:04.656,2.254,-0.215,0.952,0.122
1544566444656,2018-12-11T17:14:04.656,2.254,-0.215,0.961,0.126
1544566444656,2018-12-11T17:14:04.656,2.254,-0.216,0.955,0.119
1544566444777,2018-12-11T17:14:04.777,2.375,-0.205,0.952,0.121
1544566444777,2018-12-11T17:14:04.777,2.375,-0.191,0.934,0.113
1544566444777,2018-12-11T17:14:04.777,2.375,-0.185,0.940,0.109
1544566444903,2018-12-11T17:14:04.903,2.501,-0.202,0.954,0.113
1544566444903,2018-12-11T17:14:04.903,2.501,-0.217,0.959,0.116
1544566444903,2018-12-11T17:14:04.903,2.501,-0.207,0.956,0.124
1544566445016,2018-12-11T17:14:05.016,2.614,-0.201,0.945,0.125
1544566445016,2018-12-11T17:14:05.016,2.614,-0.203,0.943,0.116
1544566445016,2018-12-11T17:14:05.016,2.614,-0.203,0.950,0.112
1544566445138,2018-12-11T17:14:05.138,2.736,-0.207,0.957,0.114
1544566445138,2018-12-11T17:14:05.138,2.736,-0.212,0.958,0.115
1544566445138,2018-12-11T17:14:05.138,2.736,-0.208,0.952,0.118
1544566445261,2018-12-11T17:14:05.261,2.859,-0.204,0.947,0.112
1544566445261,2018-12-11T17:14:05.261,2.859,-0.201,0.956,0.109
1544566445261,2018-12-11T17:14:05.261,2.859,-0.201,0.955,0.108
1544566445383,2018-12-11T17:14:05.383,2.981,-0.202,0.951,0.111
1544566445383,2018-12-11T17:14:05.383,2.981,-0.192,0.949,0.112
1544566445383,2018-12-11T17:14:05.383,2.981,-0.199,0.951,0.106
1544566445495,2018-12-11T17:14:05.495,3.093,-0.206,0.956,0.094
1544566445495,2018-12-11T17:14:05.495,3.093,-0.201,0.959,0.102
1544566445495,2018-12-11T17:14:05.495,3.093,-0.200,0.954,0.113
1544566445618,2018-12-11T17:14:05.618,3.216,-0.201,0.951,0.114
1544566445618,2018-12-11T17:14:05.618,3.216,-0.207,0.954,0.113
1544566445618,2018-12-11T17:14:05.618,3.216,-0.210,0.951,0.110
1544566445742,2018-12-11T17:14:05.742,3.340,-0.212,0.948,0.109
1544566445742,2018-12-11T17:14:05.742,3.340,-0.208,0.950,0.111
1544566445742,2018-12-11T17:14:05.742,3.340,-0.207,0.953,0.109
1544566445852,2018-12-11T17:14:05.852,3.450,-0.202,0.954,0.104
1544566445852,2018-12-11T17:14:05.852,3.450,-0.200,0.954,0.101
1544566445852,2018-12-11T17:14:05.852,3.450,-0.201,0.956,0.106
1544566445967,2018-12-11T17:14:05.967,3.565,-0.198,0.961,0.098
1544566445967,2018-12-11T17:14:05.967,3.565,-0.193,0.958,0.089
1544566445967,2018-12-11T17:14:05.967,3.565,-0.185,0.944,0.098
1544566446117,2018-12-11T17:14:06.117,3.715,-0.184,0.939,0.100
1544566446117,2018-12-11T17:14:06.117,3.715,-0.186,0.949,0.090
1544566446117,2018-12-11T17:14:06.117,3.715,-0.193,0.957,0.097
1544566446228,2018-12-11T17:14:06.228,3.826,-0.203,0.955,0.099
1544566446228,2018-12-11T17:14:06.228,3.826,-0.207,0.966,0.108
1544566446228,2018-12-11T17:14:06.228,3.826,-0.200,0.975,0.125
1544566446341,2018-12-11T17:14:06.341,3.939,-0.204,0.962,0.116
1544566446341,2018-12-11T17:14:06.341,3.939,-0.211,0.954,0.096
1544566446341,2018-12-11T17:14:06.341,3.939,-0.194,0.975,0.077
1544566446465,2018-12-11T17:14:06.465,4.063,-0.167,0.984,0.067
1544566446465,2018-12-11T17:14:06.465,4.063,-0.134,0.970,0.087
1544566446465,2018-12-11T17:14:06.465,4.063,-0.114,0.970,0.098
1544566446581,2018-12-11T17:14:06.581,4.179,-0.131,0.974,0.088
1544566446581,2018-12-11T17:14:06.581,4.179,-0.151,0.979,0.084
1544566446581,2018-12-11T17:14:06.581,4.179,-0.160,0.972,0.071
1544566446727,2018-12-11T17:14:06.727,4.325,-0.164,0.968,0.071
1544566446727,2018-12-11T17:14:06.727,4.325,-0.141,0.969,0.082
1544566446727,2018-12-11T17:14:06.727,4.325,-0.116,0.971,0.090
1544566446827,2018-12-11T17:14:06.827,4.425,-0.116,0.965,0.095
1544566446827,2018-12-11T17:14:06.827,4.425,-0.130,0.956,0.092
1544566446827,2018-12-11T17:14:06.827,4.425,-0.120,0.936,0.096
1544566446929,2018-12-11T17:14:06.929,4.527,-0.146,0.926,0.091
1544566446929,2018-12-11T17:14:06.929,4.527,-0.181,0.934,0.116
1544566446929,2018-12-11T17:14:06.929,4.527,-0.224,0.944,0.136
1544566447052,2018-12-11T17:14:07.052,4.650,-0.246,0.967,0.130
1544566447052,2018-12-11T17:14:07.052,4.650,-0.242,0.986,0.119
1544566447052,2018-12-11T17:14:07.052,4.650,-0.208,0.977,0.115
1544566447170,2018-12-11T17:14:07.170,4.768,-0.182,0.955,0.101
1544566447170,2018-12-11T17:14:07.170,4.768,-0.180,0.944,0.087
1544566447170,2018-12-11T17:14:07.170,4.768,-0.180,0.946,0.081
1544566447290,2018-12-11T17:14:07.290,4.888,-0.169,0.950,0.079
1544566447290,2018-12-11T17:14:07.290,4.888,-0.165,0.952,0.084
1544566447290,2018-12-11T17:14:07.290,4.888,-0.159,0.960,0.101
1544566447408,2018-12-11T17:14:07.408,5.006,-0.160,0.966,0.126
1544566447408,2018-12-11T17:14:07.408,5.006,-0.184,0.960,0.143
1544566447408,2018-12-11T17:14:07.408,5.006,-0.229,0.958,0.134
1544566447532,2018-12-11T17:14:07.532,5.130,-0.242,0.965,0.124
1544566447532,2018-12-11T17:14:07.532,5.130,-0.233,0.977,0.129
1544566447532,2018-12-11T17:14:07.532,5.130,-0.222,0.960,0.128
1544566447649,2018-12-11T17:14:07.649,5.247,-0.139,0.924,0.100
1544566447649,2018-12-11T17:14:07.649,5.247,-0.157,0.927,0.086
1544566447649,2018-12-11T17:14:07.649,5.247,-0.183,0.932,0.099
1544566447772,2018-12-11T17:14:07.772,5.370,-0.208,0.941,0.129
1544566447772,2018-12-11T17:14:07.772,5.370,-0.241,0.951,0.153
1544566447772,2018-12-11T17:14:07.772,5.370,-0.270,0.958,0.160
1544566447881,2018-12-11T17:14:07.881,5.479,-0.267,0.949,0.131
1544566447881,2018-12-11T17:14:07.881,5.479,-0.231,0.945,0.127
1544566447881,2018-12-11T17:14:07.881,5.479,-0.240,0.949,0.123
1544566448007,2018-12-11T17:14:08.007,5.605,-0.226,0.944,0.124
1544566448007,2018-12-11T17:14:08.007,5.605,-0.230,0.944,0.129
1544566448007,2018-12-11T17:14:08.007,5.605,-0.229,0.946,0.138
1544566448129,2018-12-11T17:14:08.129,5.727,-0.224,0.948,0.142
1544566448129,2018-12-11T17:14:08.129,5.727,-0.223,0.946,0.143
1544566448129,2018-12-11T17:14:08.129,5.727,-0.224,0.938,0.137
1544566448240,2018-12-11T17:14:08.240,5.838,-0.228,0.926,0.137
1544566448240,2018-12-11T17:14:08.240,5.838,-0.234,0.924,0.138
1544566448240,2018-12-11T17:14:08.240,5.838,-0.244,0.923,0.143
1544566448363,2018-12-11T17:14:08.363,5.961,-0.251,0.929,0.150
1544566448363,2018-12-11T17:14:08.363,5.961,-0.256,0.933,0.157
1544566448363,2018-12-11T17:14:08.363,5.961,-0.267,0.931,0.167
1544566448491,2018-12-11T17:14:08.491,6.089,-0.271,0.925,0.182
1544566448491,2018-12-11T17:14:08.491,6.089,-0.246,0.930,0.175
1544566448491,2018-12-11T17:14:08.491,6.089,-0.250,0.940,0.160
1544566448604,2018-12-11T17:14:08.604,6.202,-0.237,0.943,0.156
1544566448604,2018-12-11T17:14:08.604,6.202,-0.202,0.940,0.159
1544566448604,2018-12-11T17:14:08.604,6.202,-0.192,0.935,0.159
1544566448723,2018-12-11T17:14:08.723,6.321,-0.208,0.934,0.161
1544566448723,2018-12-11T17:14:08.723,6.321,-0.228,0.930,0.161
1544566448723,2018-12-11T17:14:08.723,6.321,-0.234,0.929,0.160
1544566448840,2018-12-11T17:14:08.840,6.438,-0.235,0.933,0.163
1544566448840,2018-12-11T17:14:08.840,6.438,-0.242,0.936,0.169
1544566448840,2018-12-11T17:14:08.840,6.438,-0.239,0.927,0.167
1544566448961,2018-12-11T17:14:08.961,6.559,-0.236,0.931,0.163
1544566448961,2018-12-11T17:14:08.961,6.559,-0.251,0.931,0.170
1544566448961,2018-12-11T17:14:08.961,6.559,-0.259,0.927,0.176
1544566449089,2018-12-11T17:14:09.089,6.687,-0.258,0.926,0.167
1544566449089,2018-12-11T17:14:09.089,6.687,-0.247,0.927,0.160
1544566449089,2018-12-11T17:14:09.089,6.687,-0.230,0.928,0.155
1544566449196,2018-12-11T17:14:09.196,6.794,-0.228,0.927,0.154
1544566449196,2018-12-11T17:14:09.196,6.794,-0.243,0.925,0.160
1544566449196,2018-12-11T17:14:09.196,6.794,-0.252,0.919,0.166
1544566449325,2018-12-11T17:14:09.325,6.923,-0.264,0.919,0.165
1544566449325,2018-12-11T17:14:09.325,6.923,-0.269,0.923,0.160
1544566449325,2018-12-11T17:14:09.325,6.923,-0.264,0.924,0.156
1544566449443,2018-12-11T17:14:09.443,7.041,-0.260,0.927,0.151
1544566449443,2018-12-11T17:14:09.443,7.041,-0.254,0.934,0.153
1544566449443,2018-12-11T17:14:09.443,7.041,-0.252,0.939,0.156
1544566449555,2018-12-11T17:14:09.555,7.153,-0.264,0.938,0.160
1544566449555,2018-12-11T17:14:09.555,7.153,-0.251,0.933,0.146
1544566449555,2018-12-11T17:14:09.555,7.153,-0.223,0.940,0.132
1544566449683,2018-12-11T17:14:09.683,7.281,-0.210,0.956,0.130
1544566449683,2018-12-11T17:14:09.683,7.281,-0.225,0.956,0.131
1544566449683,2018-12-11T17:14:09.683,7.281,-0.245,0.951,0.138
1544566449821,2018-12-11T17:14:09.821,7.419,-0.246,0.948,0.140
1544566449821,2018-12-11T17:14:09.821,7.419,-0.225,0.941,0.137
1544566449821,2018-12-11T17:14:09.821,7.419,-0.228,0.938,0.128
1544566449941,2018-12-11T17:14:09.941,7.539,-0.231,0.938,0.120
1544566449941,2018-12-11T17:14:09.941,7.539,-0.214,0.938,0.122
1544566449941,2018-12-11T17:14:09.941,7.539,-0.210,0.940,0.125
1544566450057,2018-12-11T17:14:10.057,7.655,-0.220,0.939,0.128
1544566450057,2018-12-11T17:14:10.057,7.655,-0.230,0.940,0.136
1544566450057,2018-12-11T17:14:10.057,7.655,-0.212,0.953,0.149
1544566450164,2018-12-11T17:14:10.164,7.762,-0.209,0.950,0.115
1544566450164,2018-12-11T17:14:10.164,7.762,-0.228,0.942,0.104
1544566450164,2018-12-11T17:14:10.164,7.762,-0.235,0.955,0.124
1544566450294,2018-12-11T17:14:10.294,7.892,-0.237,0.957,0.143
1544566450294,2018-12-11T17:14:10.294,7.892,-0.252,0.943,0.140
1544566450294,2018-12-11T17:14:10.294,7.892,-0.248,0.939,0.131
1544566450410,2018-12-11T17:14:10.410,8.008,-0.237,0.946,0.124
1544566450410,2018-12-11T17:14:10.410,8.008,-0.223,0.946,0.125
1544566450410,2018-12-11T17:14:10.410,8.008,-0.204,0.945,0.124
1544566450527,2018-12-11T17:14:10.527,8.125,-0.195,0.947,0.128
1544566450527,2018-12-11T17:14:10.527,8.125,-0.211,0.947,0.126
1544566450527,2018-12-11T17:14:10.527,8.125,-0.233,0.944,0.121
1544566450639,2018-12-11T17:14:10.639,8.237,-0.240,0.942,0.124
1544566450639,2018-12-11T17:14:10.639,8.237,-0.233,0.943,0.131
1544566450639,2018-12-11T17:14:10.639,8.237,-0.224,0.942,0.133
1544566450758,2018-12-11T17:14:10.758,8.356,-0.216,0.939,0.129
1544566450758,2018-12-11T17:14:10.758,8.356,-0.211,0.945,0.123
1544566450758,2018-12-11T17:14:10.758,8.356,-0.204,0.955,0.124
1544566450876,2018-12-11T17:14:10.876,8.474,-0.202,0.954,0.123
1544566450876,2018-12-11T17:14:10.876,8.474,-0.196,0.953,0.118
1544566450876,2018-12-11T17:14:10.876,8.474,-0.193,0.957,0.112
1544566450997,2018-12-11T17:14:10.997,8.595,-0.179,0.959,0.108
1544566450997,2018-12-11T17:14:10.997,8.595,-0.169,0.958,0.106
1544566450997,2018-12-11T17:14:10.997,8.595,-0.174,0.957,0.110
1544566451111,2018-12-11T17:14:11.111,8.709,-0.188,0.950,0.116
1544566451111,2018-12-11T17:14:11.111,8.709,-0.200,0.945,0.120
1544566451111,2018-12-11T17:14:11.111,8.709,-0.213,0.946,0.120
1544566451233,2018-12-11T17:14:11.233,8.831,-0.215,0.946,0.121
1544566451233,2018-12-11T17:14:11.233,8.831,-0.214,0.947,0.123
1544566451233,2018-12-11T17:14:11.233,8.831,-0.216,0.951,0.122
1544566451358,2018-12-11T17:14:11.358,8.956,-0.211,0.948,0.117
1544566451358,2018-12-11T17:14:11.358,8.956,-0.202,0.953,0.116
1544566451358,2018-12-11T17:14:11.358,8.956,-0.201,0.956,0.119
1544566451469,2018-12-11T17:14:11.469,9.067,-0.210,0.953,0.127
1544566451469,2018-12-11T17:14:11.469,9.067,-0.211,0.949,0.125
1544566451469,2018-12-11T17:14:11.469,9.067,-0.209,0.946,0.121
1544566451592,2018-12-11T17:14:11.592,9.190,-0.207,0.950,0.119
1544566451592,2018-12-11T17:14:11.592,9.190,-0.202,0.951,0.117
1544566451592,2018-12-11T17:14:11.592,9.190,-0.196,0.949,0.116
1544566451713,2018-12-11T17:14:11.713,9.311,-0.200,0.954,0.118
1544566451713,2018-12-11T17:14:11.713,9.311,-0.210,0.953,0.122
1544566451713,2018-12-11T17:14:11.713,9.311,-0.217,0.948,0.128
1544566451828,2018-12-11T17:14:11.828,9.426,-0.226,0.943,0.133
1544566451828,2018-12-11T17:14:11.828,9.426,-0.232,0.944,0.131
1544566451828,2018-12-11T17:14:11.828,9.426,-0.233,0.944,0.132
1544566451955,2018-12-11T17:14:11.955,9.553,-0.235,0.942,0.135
1544566451955,2018-12-11T17:14:11.955,9.553,-0.240,0.940,0.134
1544566451955,2018-12-11T17:14:11.955,9.553,-0.244,0.938,0.134
1544566452064,2018-12-11T17:14:12.064,9.662,-0.248,0.939,0.134
1544566452064,2018-12-11T17:14:12.064,9.662,-0.249,0.934,0.136
1544566452064,2018-12-11T17:14:12.064,9.662,-0.250,0.934,0.134
1544566452188,2018-12-11T17:14:12.188,9.786,-0.253,0.939,0.134
1544566452188,2018-12-11T17:14:12.188,9.786,-0.251,0.940,0.134
1544566452188,2018-12-11T17:14:12.188,9.786,-0.245,0.939,0.131
1544566452314,2018-12-11T17:14:12.314,9.912,-0.243,0.939,0.130
1544566452314,2018-12-11T17:14:12.314,9.912,-0.241,0.938,0.129
1544566452314,2018-12-11T17:14:12.314,9.912,-0.243,0.939,0.128
1544566452425,2018-12-11T17:14:12.425,10.023,-0.237,0.941,0.128
1544566452425,2018-12-11T17:14:12.425,10.023,-0.235,0.941,0.127
1544566452425,2018-12-11T17:14:12.425,10.023,-0.234,0.940,0.125
1544566452554,2018-12-11T17:14:12.554,10.152,-0.229,0.940,0.122
1544566452554,2018-12-11T17:14:12.554,10.152,-0.229,0.941,0.119
1544566452554,2018-12-11T17:14:12.554,10.152,-0.238,0.946,0.124
1544566452661,2018-12-11T17:14:12.661,10.259,-0.253,0.951,0.132
1544566452661,2018-12-11T17:14:12.661,10.259,-0.262,0.948,0.142
1544566452661,2018-12-11T17:14:12.661,10.259,-0.266,0.943,0.147
1544566452785,2018-12-11T17:14:12.785,10.383,-0.261,0.929,0.131
1544566452785,2018-12-11T17:14:12.785,10.383,-0.238,0.937,0.113
1544566452785,2018-12-11T17:14:12.785,10.383,-0.199,0.945,0.097
1544566452911,2018-12-11T17:14:12.911,10.509,-0.198,0.934,0.103
1544566452911,2018-12-11T17:14:12.911,10.509,-0.243,0.938,0.131
1544566452911,2018-12-11T17:14:12.911,10.509,-0.269,0.938,0.138
1544566453027,2018-12-11T17:14:13.027,10.625,-0.273,0.937,0.144
1544566453027,2018-12-11T17:14:13.027,10.625,-0.268,0.945,0.145
1544566453027,2018-12-11T17:14:13.027,10.625,-0.250,0.938,0.133
1544566453144,2018-12-11T17:14:13.144,10.742,-0.230,0.937,0.132
1544566453144,2018-12-11T17:14:13.144,10.742,-0.206,0.948,0.106
1544566453144,2018-12-11T17:14:13.144,10.742,-0.168,0.945,0.085
1544566453268,2018-12-11T17:14:13.268,10.866,-0.170,0.943,0.123
1544566453268,2018-12-11T17:14:13.268,10.866,-0.250,0.948,0.149
1544566453268,2018-12-11T17:14:13.268,10.866,-0.287,0.947,0.161
1544566453386,2018-12-11T17:14:13.386,10.984,-0.255,0.949,0.162
1544566453386,2018-12-11T17:14:13.386,10.984,-0.221,0.940,0.125
1544566453386,2018-12-11T17:14:13.386,10.984,-0.208,0.936,0.110
1544566453504,2018-12-11T17:14:13.504,11.102,-0.202,0.938,0.123
1544566453504,2018-12-11T17:14:13.504,11.102,-0.228,0.939,0.135
1544566453504,2018-12-11T17:14:13.504,11.102,-0.248,0.940,0.143
1544566453618,2018-12-11T17:14:13.618,11.216,-0.244,0.937,0.143
1544566453618,2018-12-11T17:14:13.618,11.216,-0.241,0.936,0.139
1544566453618,2018-12-11T17:14:13.618,11.216,-0.235,0.942,0.134
1544566453746,2018-12-11T17:14:13.746,11.344,-0.220,0.932,0.122
1544566453746,2018-12-11T17:14:13.746,11.344,-0.207,0.932,0.122
1544566453746,2018-12-11T17:14:13.746,11.344,-0.228,0.940,0.131
1544566453871,2018-12-11T17:14:13.871,11.469,-0.250,0.946,0.138
1544566453871,2018-12-11T17:14:13.871,11.469,-0.243,0.948,0.142
1544566453871,2018-12-11T17:14:13.871,11.469,-0.225,0.948,0.131
1544566453975,2018-12-11T17:14:13.975,11.573,-0.215,0.948,0.119
1544566453975,2018-12-11T17:14:13.975,11.573,-0.215,0.945,0.121
1544566453975,2018-12-11T17:14:13.975,11.573,-0.220,0.942,0.124
1544566454103,2018-12-11T17:14:14.103,11.701,-0.236,0.946,0.128
1544566454103,2018-12-11T17:14:14.103,11.701,-0.243,0.949,0.131
