epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1542838645520,2018-11-21T17:17:25.520,0.000,-0.153,-0.963,0.117
1542838645520,2018-11-21T17:17:25.520,0.000,-0.154,-0.972,0.117
1542838645520,2018-11-21T17:17:25.520,0.000,-0.154,-0.970,0.118
1542838645654,2018-11-21T17:17:25.654,0.134,-0.154,-0.970,0.118
1542838645654,2018-11-21T17:17:25.654,0.134,-0.154,-0.970,0.117
1542838645654,2018-11-21T17:17:25.654,0.134,-0.154,-0.970,0.119
1542838645779,2018-11-21T17:17:25.779,0.259,-0.153,-0.970,0.119
1542838645779,2018-11-21T17:17:25.779,0.259,-0.153,-0.970,0.118
1542838645779,2018-11-21T17:17:25.779,0.259,-0.154,-0.970,0.118
1542838645904,2018-11-21T17:17:25.904,0.384,-0.154,-0.971,0.118
1542838645904,2018-11-21T17:17:25.904,0.384,-0.155,-0.969,0.119
1542838645904,2018-11-21T17:17:25.904,0.384,-0.153,-0.971,0.117
1542838646006,2018-11-21T17:17:26.006,0.486,-0.154,-0.971,0.119
1542838646006,2018-11-21T17:17:26.006,0.486,-0.154,-0.970,0.118
1542838646006,2018-11-21T17:17:26.006,0.486,-0.154,-0.969,0.119
1542838646139,2018-11-21T17:17:26.139,0.619,-0.154,-0.970,0.119
1542838646139,2018-11-21T17:17:26.139,0.619,-0.155,-0.970,0.118
1542838646139,2018-11-21T17:17:26.139,0.619,-0.155,-0.971,0.118
1542838646262,2018-11-21T17:17:26.262,0.742,-0.154,-0.970,0.119
1542838646262,2018-11-21T17:17:26.262,0.742,-0.155,-0.970,0.119
1542838646262,2018-11-21T17:17:26.262,0.742,-0.153,-0.970,0.118
1542838646365,2018-11-21T17:17:26.365,0.845,-0.154,-0.970,0.120
1542838646365,2018-11-21T17:17:26.365,0.845,-0.154,-0.970,0.119
1542838646365,2018-11-21T17:17:26.365,0.845,-0.154,-0.971,0.119
1542838646522,2018-11-21T17:17:26.522,1.002,-0.154,-0.971,0.119
1542838646522,2018-11-21T17:17:26.522,1.002,-0.153,-0.971,0.118
1542838646522,2018-11-21T17:17:26.522,1.002,-0.154,-0.970,0.119
1542838646615,2018-11-21T17:17:26.615,1.095,-0.153,-0.970,0.120
1542838646615,2018-11-21T17:17:26.615,1.095,-0.154,-0.970,0.119
1542838646615,2018-11-21T17:17:26.615,1.095,-0.154,-0.970,0.120
1542838646747,2018-11-21T17:17:26.747,1.227,-0.153,-0.971,0.119
1542838646747,2018-11-21T17:17:26.747,1.227,-0.154,-0.971,0.120
1542838646747,2018-11-21T17:17:26.747,1.227,-0.154,-0.972,0.120
1542838646860,2018-11-21T17:17:26.860,1.340,-0.153,-0.971,0.120
1542838646860,2018-11-21T17:17:26.860,1.340,-0.155,-0.970,0.120
1542838646860,2018-11-21T17:17:26.860,1.340,-0.154,-0.970,0.119
1542838646972,2018-11-21T17:17:26.972,1.452,-0.154,-0.969,0.120
1542838646972,2018-11-21T17:17:26.972,1.452,-0.155,-0.969,0.119
1542838646972,2018-11-21T17:17:26.972,1.452,-0.154,-0.971,0.119
1542838647096,2018-11-21T17:17:27.096,1.576,-0.156,-0.970,0.120
1542838647096,2018-11-21T17:17:27.096,1.576,-0.155,-0.969,0.120
1542838647096,2018-11-21T17:17:27.096,1.576,-0.154,-0.971,0.119
1542838647229,2018-11-21T17:17:27.229,1.709,-0.154,-0.970,0.121
1542838647229,2018-11-21T17:17:27.229,1.709,-0.153,-0.970,0.120
1542838647229,2018-11-21T17:17:27.229,1.709,-0.155,-0.970,0.120
1542838647355,2018-11-21T17:17:27.355,1.835,-0.154,-0.970,0.120
1542838647355,2018-11-21T17:17:27.355,1.835,-0.154,-0.970,0.120
1542838647355,2018-11-21T17:17:27.355,1.835,-0.155,-0.970,0.121
1542838647486,2018-11-21T17:17:27.486,1.966,-0.154,-0.971,0.119
1542838647486,2018-11-21T17:17:27.486,1.966,-0.154,-0.971,0.119
1542838647486,2018-11-21T17:17:27.486,1.966,-0.154,-0.970,0.119
1542838647613,2018-11-21T17:17:27.613,2.093,-0.153,-0.971,0.119
1542838647613,2018-11-21T17:17:27.613,2.093,-0.155,-0.970,0.120
1542838647613,2018-11-21T17:17:27.613,2.093,-0.154,-0.971,0.120
1542838647737,2018-11-21T17:17:27.737,2.217,-0.154,-0.970,0.119
1542838647737,2018-11-21T17:17:27.737,2.217,-0.155,-0.970,0.120
