epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1542838645441,2018-11-21T17:17:25.441,0.000,0.427,0.305,0.305
1542838645441,2018-11-21T17:17:25.441,0.000,0.427,0.305,-0.366
1542838645441,2018-11-21T17:17:25.441,0.000,0.366,0.183,-0.122
1542838645564,2018-11-21T17:17:25.564,0.123,0.305,0.122,0.122
1542838645564,2018-11-21T17:17:25.564,0.123,0.366,0.183,0.061
1542838645564,2018-11-21T17:17:25.564,0.123,0.366,0.183,-0.061
1542838645686,2018-11-21T17:17:25.686,0.245,0.305,0.183,0.061
1542838645686,2018-11-21T17:17:25.686,0.245,0.305,0.183,0.061
1542838645686,2018-11-21T17:17:25.686,0.245,0.244,0.183,0.000
1542838645823,2018-11-21T17:17:25.823,0.382,0.244,0.183,0.000
1542838645823,2018-11-21T17:17:25.823,0.382,0.305,0.183,0.000
1542838645823,2018-11-21T17:17:25.823,0.382,0.305,0.183,0.000
1542838645934,2018-11-21T17:17:25.934,0.493,0.305,0.183,0.061
1542838645934,2018-11-21T17:17:25.934,0.493,0.244,0.183,0.061
1542838645934,2018-11-21T17:17:25.934,0.493,0.244,0.183,0.000
1542838646056,2018-11-21T17:17:26.056,0.615,0.305,0.183,0.061
1542838646056,2018-11-21T17:17:26.056,0.615,0.305,0.183,0.061
1542838646056,2018-11-21T17:17:26.056,0.615,0.244,0.183,0.061
1542838646182,2018-11-21T17:17:26.182,0.741,0.305,0.183,0.061
1542838646182,2018-11-21T17:17:26.182,0.741,0.244,0.244,0.000
1542838646182,2018-11-21T17:17:26.182,0.741,0.244,0.183,0.000
1542838646296,2018-11-21T17:17:26.296,0.855,0.244,0.183,0.061
1542838646296,2018-11-21T17:17:26.296,0.855,0.244,0.183,-0.061
1542838646296,2018-11-21T17:17:26.296,0.855,0.305,0.183,0.061
1542838646417,2018-11-21T17:17:26.417,0.976,0.305,0.183,0.000
1542838646417,2018-11-21T17:17:26.417,0.976,0.244,0.183,-0.061
1542838646417,2018-11-21T17:17:26.417,0.976,0.305,0.122,0.061
1542838646542,2018-11-21T17:17:26.542,1.101,0.305,0.183,0.061
1542838646542,2018-11-21T17:17:26.542,1.101,0.305,0.183,0.000
1542838646542,2018-11-21T17:17:26.542,1.101,0.244,0.183,0.061
1542838646661,2018-11-21T17:17:26.661,1.220,0.305,0.183,0.000
1542838646661,2018-11-21T17:17:26.661,1.220,0.366,0.183,0.000
1542838646661,2018-11-21T17:17:26.661,1.220,0.305,0.183,0.000
1542838646778,2018-11-21T17:17:26.778,1.337,0.305,0.183,0.000
1542838646778,2018-11-21T17:17:26.778,1.337,0.305,0.183,0.061
1542838646778,2018-11-21T17:17:26.778,1.337,0.305,0.183,0.000
1542838646893,2018-11-21T17:17:26.893,1.452,0.305,0.183,0.000
1542838646893,2018-11-21T17:17:26.893,1.452,0.305,0.183,0.000
1542838646893,2018-11-21T17:17:26.893,1.452,0.305,0.183,0.061
1542838647017,2018-11-21T17:17:27.017,1.576,0.244,0.183,0.061
1542838647017,2018-11-21T17:17:27.017,1.576,0.366,0.183,-0.122
1542838647017,2018-11-21T17:17:27.017,1.576,0.305,0.183,0.122
1542838647141,2018-11-21T17:17:27.141,1.700,0.244,0.183,0.122
1542838647141,2018-11-21T17:17:27.141,1.700,0.366,0.183,-0.183
1542838647141,2018-11-21T17:17:27.141,1.700,0.305,0.183,0.061
